                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6899,                 1.4417,                 1.0214,                0.26303,                0.03834,                0.05482,                0.02083,                 2.2608,                 3.3133,                 2.3721,             0.00065432,             0.00065432,             0.00065432
                      2,                0.56607,                0.86356,                0.95867,                0.07465,                0.03514,                0.01849,                0.00752,                 2.9581,                 3.4908,                 2.7031,              0.0013079,              0.0013079,              0.0013079
                      3,                0.59532,                0.77155,                0.95949,                0.21675,                 0.1246,                0.07203,                0.02201,                 2.6342,                 3.3462,                 2.7955,              0.0019483,              0.0019483,              0.0019483
                      4,                 0.5656,                0.73302,                0.95882,                0.24191,                0.17891,                0.11673,                0.03945,                 2.4411,                 3.0983,                 2.5301,              0.0019406,              0.0019406,              0.0019406
                      5,                0.51114,                0.63038,                0.94254,                0.33894,                0.32268,                0.20154,                0.08123,                 2.3689,                 2.7696,                 2.5919,              0.0019406,              0.0019406,              0.0019406
                      6,                0.53484,                0.61595,                0.94646,                0.17865,                0.07668,                0.06265,                0.02703,                 2.5742,                 3.3517,                 2.5844,              0.0019208,              0.0019208,              0.0019208
                      7,                0.51517,                0.57326,                 0.9412,                0.02523,                0.01917,                0.00938,                0.00248,                 3.5532,                 3.6255,                 3.0443,               0.001901,               0.001901,               0.001901
                      8,                0.48872,                0.54979,                  0.936,                0.14786,                0.08307,                0.04163,                0.01341,                 2.5967,                 3.4439,                 2.4469,              0.0018812,              0.0018812,              0.0018812
                      9,                0.47684,                0.52976,                0.92872,                0.24634,                0.15016,                0.09131,                0.04181,                 2.4622,                 3.3903,                 2.4783,              0.0018614,              0.0018614,              0.0018614
                     10,                0.45593,                0.50361,                0.91771,                 0.1552,                0.08626,                0.05393,                0.02307,                 2.9107,                 3.7217,                 2.9013,              0.0018416,              0.0018416,              0.0018416
                     11,                0.46386,                0.50686,                0.91423,                0.03014,                0.19808,                0.02824,                0.01148,                 2.7141,                 4.2018,                 2.6374,              0.0018218,              0.0018218,              0.0018218
                     12,                 0.4448,                0.49144,                 0.9258,                0.36909,                 0.2492,                0.17962,                0.07648,                  2.452,                 2.9347,                 2.5533,               0.001802,               0.001802,               0.001802
                     13,                0.44345,                0.46511,                0.91148,                 0.3275,                0.11182,                0.11084,                0.04468,                 2.4322,                 3.4398,                 2.4784,              0.0017822,              0.0017822,              0.0017822
                     14,                0.42785,                0.45573,                0.90787,                0.41983,                0.11502,                0.15225,                0.06606,                 2.5823,                 3.5457,                 2.8118,              0.0017624,              0.0017624,              0.0017624
                     15,                0.43444,                0.46003,                0.91251,                 0.2108,                0.11821,                 0.0991,                0.04326,                 2.6399,                 3.3393,                 2.4289,              0.0017426,              0.0017426,              0.0017426
                     16,                0.42376,                0.45652,                0.90507,                 0.0737,                0.30351,                0.09053,                0.04446,                 2.3921,                 4.1057,                 2.4413,              0.0017228,              0.0017228,              0.0017228
                     17,                0.40971,                0.42814,                0.89749,                0.27193,                0.08626,                0.10675,                0.04369,                 3.1705,                 3.9733,                 3.1831,               0.001703,               0.001703,               0.001703
                     18,                0.43007,                0.43263,                0.91096,                0.07315,                0.22364,                0.05945,                0.02365,                 2.6361,                 4.3231,                 2.4632,              0.0016832,              0.0016832,              0.0016832
                     19,                0.42216,                0.43479,                  0.908,                 0.4532,                0.07348,                0.10659,                0.04783,                 2.6413,                 4.4173,                 2.7761,              0.0016634,              0.0016634,              0.0016634
                     20,                0.43337,                 0.4338,                0.90806,                0.19716,                0.14058,                0.09455,                0.03874,                 2.5392,                 3.6964,                 2.8258,              0.0016436,              0.0016436,              0.0016436
                     21,                0.40943,                0.42857,                 0.8993,                 0.2009,                0.13419,                 0.0772,                0.03426,                  2.484,                 3.9864,                 2.6517,              0.0016238,              0.0016238,              0.0016238
                     22,                0.40116,                0.42712,                0.90882,                0.11943,                0.09585,                 0.0462,                0.01797,                 2.6559,                 3.8549,                 2.7806,               0.001604,               0.001604,               0.001604
                     23,                0.39107,                0.40188,                0.88997,                0.41646,                0.17329,                0.20249,                0.09393,                 2.6001,                  3.411,                 3.1523,              0.0015842,              0.0015842,              0.0015842
                     24,                0.39694,                0.40404,                0.89777,                0.13209,                0.40895,                0.25846,                0.13143,                 2.3802,                 3.6426,                 2.5245,              0.0015644,              0.0015644,              0.0015644
