                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95305,                 3.2648,                  1.266,                0.01998,                0.87179,                0.21572,                0.15683,                 0.8474,                 3.5435,                 1.2348,                0.00017,                0.00017,                0.00017
                      2,                 0.9798,                 2.6502,                 1.2513,                0.02865,                0.91026,                0.24804,                0.20166,                0.82752,                 3.3047,                 1.2113,             0.00034654,             0.00034654,             0.00034654
                      3,                0.94066,                  2.247,                 1.2297,                0.50221,                0.35418,                0.24571,                 0.1772,                 1.0091,                 2.8856,                 1.4324,             0.00051951,             0.00051951,             0.00051951
                      4,                0.95443,                 2.0092,                 1.2461,                0.28773,                0.29297,                0.26568,                0.19016,                 0.9791,                 3.0968,                 1.3782,             0.00068891,             0.00068891,             0.00068891
                      5,                0.99699,                 1.8715,                 1.2492,                0.19712,                0.46874,                0.28332,                0.19147,                 1.2767,                 2.9793,                 1.6175,             0.00085476,             0.00085476,             0.00085476
                      6,                0.93513,                 1.8056,                 1.2426,                0.34727,                0.41471,                0.30535,                0.23723,                 1.1215,                 2.9814,                 1.5004,              0.0009505,              0.0009505,              0.0009505
                      7,                0.93429,                  1.715,                 1.2424,                0.16016,                0.50923,                0.26344,                0.19785,                 1.1313,                 3.7613,                    1.5,              0.0009505,              0.0009505,              0.0009505
                      8,                0.92058,                 1.5892,                 1.2214,                0.18641,                0.51872,                0.28797,                0.19405,                 1.1161,                 3.2341,                 1.4204,              0.0009406,              0.0009406,              0.0009406
                      9,                0.92364,                 1.5291,                 1.2054,                0.23556,                0.44349,                0.28734,                0.21091,                 1.1128,                 2.7374,                 1.4467,              0.0009307,              0.0009307,              0.0009307
                     10,                0.93628,                 1.4341,                 1.2049,                0.23549,                 0.4929,                0.25105,                0.18643,                 1.1142,                 2.9328,                 1.4588,              0.0009208,              0.0009208,              0.0009208
                     11,                0.93806,                 1.4463,                 1.2218,                0.30915,                0.54028,                0.32124,                0.26305,                 1.0183,                 2.8083,                  1.393,              0.0009109,              0.0009109,              0.0009109
                     12,                0.93446,                 1.3113,                 1.2024,                0.42015,                0.22652,                0.24348,                0.18583,                0.99278,                 2.6896,                 1.3852,               0.000901,               0.000901,               0.000901
                     13,                0.89016,                 1.2641,                 1.1848,                0.63092,                 0.3005,                0.24658,                0.17364,                 1.0445,                 2.9898,                 1.4102,              0.0008911,              0.0008911,              0.0008911
                     14,                0.90734,                 1.2308,                 1.1871,                0.17784,                  0.377,                0.22184,                0.14272,                  1.082,                 3.1886,                 1.4349,              0.0008812,              0.0008812,              0.0008812
                     15,                0.86399,                 1.2726,                  1.172,                0.51302,                0.32938,                 0.3515,                0.26854,                 1.1029,                 2.6707,                 1.4178,              0.0008713,              0.0008713,              0.0008713
                     16,                0.84571,                 1.1847,                 1.1542,                0.43867,                0.30282,                0.27091,                0.20961,                 1.0587,                 2.8839,                 1.4258,              0.0008614,              0.0008614,              0.0008614
                     17,                0.86001,                 1.0834,                 1.1202,                0.27202,                 0.3417,                0.27982,                 0.2331,                 1.0183,                  3.174,                 1.3614,              0.0008515,              0.0008515,              0.0008515
                     18,                0.87284,                 1.1375,                 1.1578,                0.55125,                0.39315,                0.33552,                0.28549,                0.91911,                 2.9464,                 1.2892,              0.0008416,              0.0008416,              0.0008416
                     19,                0.82984,                 1.0803,                 1.1609,                0.21552,                0.38641,                0.26369,                 0.2189,                0.91487,                 2.9714,                 1.2658,              0.0008317,              0.0008317,              0.0008317
                     20,                0.79361,                 1.0556,                 1.1284,                0.38586,                0.33368,                0.33474,                0.26211,                 1.0623,                 2.8307,                 1.3566,              0.0008218,              0.0008218,              0.0008218
                     21,                0.80749,                0.94445,                 1.1189,                0.61123,                0.26498,                0.32673,                 0.2486,                0.93337,                 2.9154,                 1.2893,              0.0008119,              0.0008119,              0.0008119
                     22,                 0.8101,                 0.9818,                 1.1237,                0.45861,                0.36145,                0.38038,                0.31652,                0.91339,                 2.5275,                 1.2696,               0.000802,               0.000802,               0.000802
                     23,                0.81507,                0.92619,                 1.1109,                 0.3557,                0.45904,                 0.3985,                0.33322,                0.99312,                 2.6577,                 1.3363,              0.0007921,              0.0007921,              0.0007921
                     24,                0.81259,                0.93121,                 1.1268,                0.37222,                0.54623,                0.43381,                0.36592,                0.97541,                 2.5072,                  1.363,              0.0007822,              0.0007822,              0.0007822
                     25,                0.77766,                0.94401,                 1.1196,                0.54113,                0.35006,                0.43509,                0.36856,                0.97235,                 2.3977,                 1.3462,              0.0007723,              0.0007723,              0.0007723
