                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2045,                 1.8491,                 1.5219,                0.48862,                0.43038,                0.39186,                0.12703,                 2.0808,                 3.0372,                 3.0395,                0.00062,                0.00062,                0.00062
                      2,                 1.1039,                 1.3363,                 1.4307,                0.50987,                0.49367,                 0.4735,                0.15013,                 2.1214,                  2.499,                 2.6338,              0.0012351,              0.0012351,              0.0012351
                      3,                  1.147,                  1.321,                 1.4383,                0.44953,                0.56854,                0.49646,                0.16667,                 2.1554,                 2.2158,                 3.1917,              0.0018248,              0.0018248,              0.0018248
                      4,                 1.1133,                 1.2274,                 1.4215,                0.24261,                0.35443,                 0.1637,                0.05221,                 2.6406,                 3.3138,                 2.9509,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.1291,                 1.2385,                 1.4226,                0.59554,                0.58228,                 0.5868,                0.19786,                 2.2067,                 2.0566,                 2.6708,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.0885,                 1.1588,                 1.3941,                0.60615,                0.39241,                 0.3922,                 0.1205,                 2.8163,                 2.2735,                 2.8587,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.0802,                 1.1354,                 1.3874,                 0.5903,                0.67089,                0.66971,                0.25357,                  2.207,                 1.9696,                 2.6356,               0.001802,               0.001802,               0.001802
                      8,                 1.0482,                 1.0963,                 1.3764,                0.78205,                 0.6962,                0.75501,                0.28874,                   2.13,                 1.6235,                 2.4224,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.0218,                 1.0585,                 1.3439,                0.62817,                0.66297,                0.66711,                0.27021,                 2.1746,                 1.5754,                 2.5615,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.0224,                 1.0218,                 1.3326,                0.82081,                0.81178,                0.80212,                0.30526,                 2.0438,                   1.58,                  2.469,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.0017,                 1.0211,                 1.3354,                0.71562,                0.62025,                0.60416,                 0.2182,                 2.2608,                 1.7249,                 2.7709,              0.0016436,              0.0016436,              0.0016436
                     12,                0.95877,                0.97563,                  1.304,                0.90139,                0.83544,                0.84994,                0.39664,                 1.8309,                 1.2203,                 2.2424,               0.001604,               0.001604,               0.001604
                     13,                0.96193,                0.94964,                 1.3067,                0.85788,                0.81013,                0.88096,                0.37365,                 1.7538,                 1.1599,                 2.1579,              0.0015644,              0.0015644,              0.0015644
                     14,                0.96067,                0.96328,                 1.3062,                0.62529,                0.67089,                    0.7,                0.27511,                   2.17,                 1.3451,                 2.4525,              0.0015248,              0.0015248,              0.0015248
                     15,                0.93972,                 0.9077,                 1.2945,                0.89709,                0.83544,                0.87326,                0.36589,                 1.9005,                 1.1998,                 2.2017,              0.0014852,              0.0014852,              0.0014852
                     16,                0.92776,                0.91126,                   1.29,                0.95431,                0.79321,                0.88478,                0.37418,                  1.855,                 1.1958,                 2.1618,              0.0014456,              0.0014456,              0.0014456
                     17,                0.93887,                0.91392,                 1.2936,                0.92394,                0.63291,                0.76933,                 0.3557,                 2.0153,                 1.2409,                 2.4862,               0.001406,               0.001406,               0.001406
                     18,                0.91681,                 0.9005,                 1.2753,                 0.8499,                0.83544,                0.86887,                0.38848,                 1.9403,                 1.0707,                  2.288,              0.0013664,              0.0013664,              0.0013664
                     19,                0.89933,                0.86548,                 1.2715,                0.87466,                0.79499,                0.83131,                0.33823,                 2.1299,                  1.105,                 2.4976,              0.0013268,              0.0013268,              0.0013268
                     20,                0.92722,                0.89865,                 1.2915,                0.85014,                0.79747,                0.84342,                0.41432,                 1.7855,                 0.9805,                 2.2127,              0.0012872,              0.0012872,              0.0012872
                     21,                0.87783,                0.82769,                 1.2555,                0.89393,                0.72152,                0.81526,                 0.3651,                 1.8482,                0.99428,                 2.2494,              0.0012476,              0.0012476,              0.0012476
                     22,                0.88111,                0.86862,                 1.2509,                0.87959,                0.73977,                0.84983,                0.38188,                 1.8272,                 1.0382,                 2.2039,               0.001208,               0.001208,               0.001208
                     23,                 0.8814,                0.81769,                 1.2635,                0.87635,                 0.8481,                0.85533,                0.42548,                 1.6289,                0.92801,                 1.9797,              0.0011684,              0.0011684,              0.0011684
                     24,                0.87215,                0.82808,                 1.2461,                0.84514,                0.75991,                0.81132,                0.40328,                 1.8822,                 1.0796,                 2.2862,              0.0011288,              0.0011288,              0.0011288
                     25,                0.83654,                0.80007,                 1.2364,                0.85942,                0.77215,                0.83904,                0.40234,                 1.6956,                0.97715,                 1.9985,              0.0010892,              0.0010892,              0.0010892
                     26,                0.84948,                0.79515,                 1.2309,                0.93103,                 0.8481,                0.87706,                0.45744,                 1.5619,                0.80202,                 1.9009,              0.0010496,              0.0010496,              0.0010496
                     27,                0.82064,                0.77371,                 1.2166,                0.94492,                0.86859,                0.89142,                 0.4416,                 1.7146,                0.87296,                 2.0276,                0.00101,                0.00101,                0.00101
                     28,                0.85006,                0.79408,                 1.2208,                0.85405,                 0.6962,                0.82525,                0.35171,                 1.8947,                 1.0015,                 2.1772,              0.0009704,              0.0009704,              0.0009704
                     29,                0.84562,                0.77739,                 1.2255,                0.85388,                0.79747,                0.80824,                0.34178,                  1.943,                0.96332,                 2.3246,              0.0009308,              0.0009308,              0.0009308
                     30,                 0.8062,                 0.7637,                 1.2104,                0.86993,                0.81013,                 0.8316,                0.40316,                 1.7392,                0.91089,                 2.0599,              0.0008912,              0.0008912,              0.0008912
                     31,                0.79066,                0.75851,                 1.2024,                0.85871,                0.65823,                0.72551,                0.32169,                 1.8919,                 1.1485,                 2.1277,              0.0008516,              0.0008516,              0.0008516
                     32,                0.82063,                0.75562,                 1.2154,                0.85637,                0.83027,                0.86983,                 0.3935,                  1.822,                0.90946,                 2.1651,               0.000812,               0.000812,               0.000812
                     33,                0.81503,                0.74308,                 1.2134,                0.90746,                0.86889,                0.88726,                0.41123,                 1.7134,                 0.7759,                  2.041,              0.0007724,              0.0007724,              0.0007724
                     34,                0.80861,                0.74487,                 1.2003,                 0.9676,                0.75949,                0.85936,                0.40592,                 1.7916,                0.89715,                 2.1206,              0.0007328,              0.0007328,              0.0007328
                     35,                0.78674,                0.72032,                 1.1927,                0.90106,                0.80698,                0.86071,                0.44155,                 1.6956,                 0.7889,                 2.0147,              0.0006932,              0.0006932,              0.0006932
                     36,                0.76479,                0.70172,                 1.1859,                0.92282,                0.87342,                0.88441,                0.46117,                 1.6192,                0.72108,                 1.9952,              0.0006536,              0.0006536,              0.0006536
                     37,                0.76968,                0.70811,                  1.183,                0.93165,                0.87342,                0.91103,                0.47146,                 1.6203,                0.74157,                 1.9656,               0.000614,               0.000614,               0.000614
                     38,                0.74391,                0.69622,                 1.1766,                0.89566,                0.89873,                0.92214,                0.46448,                 1.6754,                0.75985,                 1.9892,              0.0005744,              0.0005744,              0.0005744
                     39,                0.75907,                0.70984,                 1.1719,                0.89317,                0.87342,                0.88314,                0.42144,                 1.7643,                0.72708,                 2.0704,              0.0005348,              0.0005348,              0.0005348
                     40,                0.73985,                0.68568,                 1.1578,                0.90854,                0.88021,                0.90871,                0.48537,                 1.6198,                0.77092,                 1.9224,              0.0004952,              0.0004952,              0.0004952
                     41,                0.72141,                0.64947,                 1.1827,                0.92037,                0.83544,                0.87497,                 0.4117,                 1.7059,                0.82493,                 2.0629,              0.0004556,              0.0004556,              0.0004556
                     42,                0.70886,                0.59736,                 1.1605,                0.88781,                0.87342,                 0.8969,                0.45867,                 1.6668,                0.76947,                  2.016,               0.000416,               0.000416,               0.000416
                     43,                0.70027,                0.57896,                 1.1611,                0.88525,                0.87893,                0.89167,                0.45951,                 1.6267,                0.77537,                 1.9628,              0.0003764,              0.0003764,              0.0003764
                     44,                0.67624,                0.58616,                 1.1478,                 0.9835,                 0.8481,                0.93347,                0.49434,                 1.6623,                0.77632,                 1.9984,              0.0003368,              0.0003368,              0.0003368
                     45,                0.65846,                0.55464,                 1.1357,                0.91687,                0.89873,                0.91057,                0.49472,                 1.6151,                0.71095,                 1.9932,              0.0002972,              0.0002972,              0.0002972
                     46,                0.67615,                0.56407,                 1.1441,                0.94754,                0.91466,                0.94304,                0.49802,                  1.616,                0.73554,                 1.9706,              0.0002576,              0.0002576,              0.0002576
