                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73571,                0.68983,                 1.1617,                0.87447,                0.79368,                0.85131,                 0.3866,                  1.892,                 0.9037,                  2.294,                0.00062,                0.00062,                0.00062
                      2,                0.78093,                0.69597,                 1.1834,                0.90411,                0.78481,                0.84338,                0.47183,                 1.6383,                0.76272,                 1.9551,              0.0012351,              0.0012351,              0.0012351
                      3,                0.85118,                0.79123,                 1.2248,                0.79796,                0.75949,                0.81955,                0.39636,                 1.8396,                 1.1839,                 2.3221,              0.0018248,              0.0018248,              0.0018248
                      4,                0.85519,                0.76789,                 1.2305,                0.83783,                0.78481,                0.78986,                0.32302,                 1.9748,                 1.1191,                 2.3185,              0.0018812,              0.0018812,              0.0018812
                      5,                0.86893,                0.78172,                 1.2288,                0.79453,                0.74684,                0.75674,                0.32575,                 1.9071,                 1.2538,                 2.2279,              0.0018812,              0.0018812,              0.0018812
                      6,                 0.8546,                0.79041,                 1.2207,                0.85784,                0.84024,                0.86617,                0.39579,                 1.8242,                 1.2243,                 2.2922,              0.0018416,              0.0018416,              0.0018416
                      7,                0.85416,                0.78168,                 1.2153,                0.86435,                0.78481,                0.80951,                0.34502,                 2.0161,                 1.0686,                 2.5135,               0.001802,               0.001802,               0.001802
                      8,                0.83732,                0.78478,                 1.2242,                0.83873,                0.65834,                0.78096,                0.28248,                 2.1216,                  1.212,                 2.4193,              0.0017624,              0.0017624,              0.0017624
                      9,                0.81928,                0.76738,                 1.2084,                0.91087,                0.77623,                0.89317,                0.43869,                 1.7305,                0.92347,                 2.1089,              0.0017228,              0.0017228,              0.0017228
                     10,                0.84086,                0.74996,                 1.2108,                0.94776,                0.82278,                0.88002,                0.38536,                  1.906,                0.94464,                 2.2309,              0.0016832,              0.0016832,              0.0016832
                     11,                0.81795,                0.74481,                 1.2065,                0.88481,                0.79747,                0.84163,                 0.3417,                 1.9697,                 1.0957,                 2.3476,              0.0016436,              0.0016436,              0.0016436
                     12,                0.78945,                0.71776,                 1.1843,                0.85908,                0.84884,                0.87481,                0.40897,                 1.8765,                0.91812,                 2.3047,               0.001604,               0.001604,               0.001604
                     13,                0.79741,                0.70874,                 1.1876,                0.84298,                0.81551,                0.81905,                0.35363,                 1.8183,                0.90199,                 2.1938,              0.0015644,              0.0015644,              0.0015644
                     14,                0.81427,                0.73157,                 1.1985,                0.66624,                0.53165,                0.59963,                0.26954,                 2.0781,                 1.4792,                 2.5212,              0.0015248,              0.0015248,              0.0015248
                     15,                0.79794,                0.71556,                 1.1864,                0.82228,                0.83544,                0.82459,                0.32641,                 2.0897,                 1.0017,                 2.4563,              0.0014852,              0.0014852,              0.0014852
                     16,                0.78804,                0.70254,                  1.191,                0.85113,                0.86076,                0.87411,                0.44956,                 1.8107,                0.84005,                 2.1206,              0.0014456,              0.0014456,              0.0014456
                     17,                0.78628,                0.69922,                 1.1872,                0.86394,                0.81013,                0.86938,                0.41793,                 1.7324,                 0.9108,                 2.0706,               0.001406,               0.001406,               0.001406
                     18,                0.76346,                0.69304,                 1.1697,                0.91438,                 0.6962,                0.78393,                 0.3691,                 1.8816,                0.93663,                 2.2816,              0.0013664,              0.0013664,              0.0013664
                     19,                0.76151,                0.67855,                 1.1678,                0.84546,                0.86076,                0.89018,                0.48119,                 1.6615,                0.80868,                 1.9986,              0.0013268,              0.0013268,              0.0013268
                     20,                0.79082,                0.71083,                 1.1897,                0.93204,                0.86806,                 0.8952,                0.46919,                 1.5892,                0.77784,                  1.964,              0.0012872,              0.0012872,              0.0012872
                     21,                0.74513,                0.65434,                 1.1672,                0.90219,                 0.8481,                0.90789,                0.43035,                  1.685,                0.73138,                 2.0259,              0.0012476,              0.0012476,              0.0012476
                     22,                0.74935,                0.68388,                 1.1597,                0.92783,                 0.8481,                0.89007,                 0.4289,                 1.7636,                0.81455,                 2.1201,               0.001208,               0.001208,               0.001208
                     23,                0.74203,                0.66206,                 1.1674,                0.90273,                0.86076,                0.88056,                0.39445,                 1.8562,                0.82359,                 2.2369,              0.0011684,              0.0011684,              0.0011684
