                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7747,                  2.718,                 1.9854,                0.00619,                      1,                0.33847,                0.10534,                 1.8584,                 3.2014,                 2.3376,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.7222,                 2.5264,                 1.9389,                0.00595,                0.96154,                0.44814,                0.15685,                 2.0272,                  3.144,                 2.4682,             0.00017822,             0.00017822,             0.00017822
                      3,                 1.6941,                 2.2128,                 1.9054,                0.00619,                      1,                0.46347,                0.12424,                 1.9455,                  2.994,                 2.5539,             0.00027446,             0.00027446,             0.00027446
                      4,                 1.6428,                 2.0969,                 1.8672,                0.00619,                      1,                0.44241,                0.16534,                 1.8306,                 3.0036,                 2.3534,             0.00036871,             0.00036871,             0.00036871
                      5,                 1.5615,                 1.9134,                 1.7644,                0.00595,                0.96154,                0.25249,                0.08344,                 2.5442,                 3.1833,                 3.4754,             0.00046099,             0.00046099,             0.00046099
                      6,                 1.5946,                 1.8919,                 1.7849,                0.00571,                0.92308,                0.26078,                0.05425,                  2.766,                 3.2973,                 3.7252,             0.00055129,             0.00055129,             0.00055129
                      7,                 1.6086,                 2.0702,                  1.858,                0.00524,                0.84615,                0.28015,                0.07021,                 2.5187,                 3.2341,                 3.2604,             0.00063961,             0.00063961,             0.00063961
                      8,                 1.6614,                 2.0231,                 1.8273,                0.75699,                0.12076,                0.46767,                0.14664,                 2.2345,                  2.942,                 2.7839,             0.00072595,             0.00072595,             0.00072595
                      9,                 1.6315,                 1.8925,                 1.8114,                0.58652,                0.21911,                 0.4259,                0.19109,                 2.0102,                 2.7396,                   2.55,              0.0008103,              0.0008103,              0.0008103
                     10,                 1.5607,                 1.8115,                 1.7847,                0.57713,                0.46154,                 0.5315,                0.21831,                 2.1194,                 2.5104,                 2.6707,             0.00089268,             0.00089268,             0.00089268
                     11,                 1.6473,                 1.7296,                 1.7771,                 0.5622,                0.34576,                0.44638,                0.11161,                 2.4539,                 2.6476,                 2.9359,             0.00097308,             0.00097308,             0.00097308
                     12,                 1.6724,                 1.8575,                 1.8464,                 0.5647,                0.30769,                0.40988,                0.11451,                 2.5068,                 2.7445,                 2.9812,              0.0010515,              0.0010515,              0.0010515
                     13,                 1.6564,                 1.8674,                 1.8857,                0.47327,                0.31121,                0.35029,                0.10013,                  2.505,                 2.7527,                 3.0157,              0.0011279,              0.0011279,              0.0011279
                     14,                 1.6483,                 1.8954,                 1.8257,                0.55143,                0.26923,                0.32369,                0.10736,                 2.2173,                 2.7557,                 2.7827,              0.0012024,              0.0012024,              0.0012024
                     15,                 1.6114,                 1.8124,                 1.8165,                0.57225,                0.46154,                0.43793,                0.18143,                  2.176,                 2.1745,                 2.6134,              0.0012749,              0.0012749,              0.0012749
                     16,                 1.6017,                 1.8286,                 1.8241,                0.47796,                0.57692,                0.51633,                0.23436,                 1.9933,                 2.1279,                 2.3636,              0.0013454,              0.0013454,              0.0013454
                     17,                 1.6584,                 1.8817,                 1.8807,                0.39157,                0.53846,                0.45106,                0.20578,                 2.1102,                 2.2613,                 2.6731,              0.0014139,              0.0014139,              0.0014139
                     18,                 1.5786,                 1.8586,                 1.8286,                0.56906,                0.30493,                0.36591,                0.14707,                 2.3914,                 2.3243,                 2.9574,              0.0014804,              0.0014804,              0.0014804
                     19,                 1.6633,                 1.8758,                 1.9157,                0.36172,                0.38462,                0.36506,                0.11449,                 2.6519,                 2.4868,                 3.1807,               0.001545,               0.001545,               0.001545
                     20,                 1.7375,                 1.8766,                 1.9082,                0.42587,                0.26923,                0.26342,                0.08843,                 2.6626,                 2.7062,                 3.0973,              0.0016076,              0.0016076,              0.0016076
                     21,                 1.6447,                 1.7949,                 1.8647,                0.39137,                0.42308,                0.30948,                  0.109,                 2.3782,                 2.3886,                 3.1124,               0.001604,               0.001604,               0.001604
                     22,                 1.6435,                 1.7985,                 1.8459,                0.45543,                0.45064,                0.42708,                0.11669,                 2.4329,                  2.414,                 3.2345,               0.001604,               0.001604,               0.001604
                     23,                 1.6547,                 1.8184,                  1.911,                 0.4512,                0.34615,                0.31471,                0.09559,                 2.3749,                 2.7906,                 2.9719,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.7887,                 2.0282,                 1.9839,                0.24125,                0.34615,                0.19348,                0.05275,                 2.3994,                 2.6434,                 2.9032,              0.0015644,              0.0015644,              0.0015644
                     25,                  1.721,                 1.8786,                 1.8847,                0.19159,                0.30769,                0.16022,                0.04016,                 2.6987,                  2.928,                   3.14,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.7616,                 1.8128,                 1.8768,                 0.2162,                0.23077,                0.14311,                0.03888,                 2.6944,                  3.083,                 3.0784,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.6672,                 1.8205,                  1.839,                0.27108,                0.38462,                0.24653,                0.08753,                  2.566,                 3.0206,                  2.973,               0.001505,               0.001505,               0.001505
                     28,                 1.6973,                 1.8122,                 1.8441,                0.47038,                0.26923,                0.28888,                 0.0837,                 2.8328,                 4.0556,                 3.5298,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.7132,                 1.7599,                 1.8943,                0.56705,                0.19231,                0.19111,                0.04401,                 3.5057,                 5.3796,                 4.3862,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.6376,                 1.7624,                 1.8343,                0.28032,                0.34615,                0.17876,                0.04737,                 3.0018,                 4.5429,                 3.5806,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.6539,                 1.6847,                 1.8257,                0.29498,                    0.5,                0.38269,                 0.1474,                 2.3356,                 2.4038,                 2.8419,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.7317,                 1.7506,                 1.8985,                 0.6129,                0.34615,                0.45479,                0.16353,                 2.5192,                 2.4339,                  2.981,               0.001406,               0.001406,               0.001406
                     33,                 1.6134,                 1.6953,                  1.825,                0.35812,                0.34615,                0.26007,                0.10637,                 2.9383,                 2.9857,                 3.6735,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.6707,                 1.7245,                 1.8545,                0.63313,                0.26923,                0.30411,                0.09171,                 3.1501,                 3.3085,                 4.0136,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.7105,                  1.606,                 1.9085,                0.48974,                0.30769,                0.30223,                0.08294,                 3.3709,                 3.6486,                 4.3695,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.7338,                 1.6815,                 1.9073,                0.38451,                0.53846,                0.41751,                0.18536,                 2.4213,                 2.5897,                 3.0433,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.6107,                 1.6649,                 1.7905,                0.53851,                0.62862,                0.57006,                0.29245,                 2.0927,                 1.9925,                 2.5224,               0.001307,               0.001307,               0.001307
                     38,                 1.6404,                 1.6077,                 1.7847,                0.68796,                0.73077,                  0.742,                 0.3886,                 1.8186,                 1.7178,                 2.2084,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.6829,                 1.6434,                 1.8373,                0.81357,                 0.6718,                0.82155,                0.38205,                 1.9213,                 1.7456,                 2.3579,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.5919,                 1.6165,                 1.8181,                0.69024,                0.84615,                 0.8392,                0.38193,                 1.9049,                 1.8775,                 2.4163,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.5803,                 1.5647,                 1.7722,                0.78187,                0.84615,                0.86223,                 0.3664,                 1.8839,                 1.5738,                 2.4201,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.5722,                 1.6056,                 1.7804,                0.93878,                0.59033,                0.81867,                 0.3987,                 1.8208,                 1.5794,                  2.345,               0.001208,               0.001208,               0.001208
                     43,                 1.6246,                 1.5935,                 1.7867,                0.81813,                0.53846,                   0.72,                0.32628,                   1.89,                 1.6425,                 2.3586,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.6731,                 1.6461,                 1.8389,                0.61635,                    0.5,                0.61389,                0.22432,                 2.2017,                 1.8731,                 2.5827,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.6021,                 1.5277,                 1.7997,                0.43394,                0.73077,                0.59591,                0.19261,                  2.103,                 1.9414,                 2.4599,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.5494,                 1.5191,                 1.7572,                0.59389,                    0.5,                0.58258,                0.24033,                 2.0122,                 1.8839,                 2.3034,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.4513,                 1.4374,                 1.6874,                0.75348,                0.61538,                0.66331,                0.29293,                 1.9044,                   1.82,                 2.2601,               0.001109,               0.001109,               0.001109
                     48,                  1.581,                 1.5533,                 1.8029,                0.71992,                0.61538,                0.62793,                0.29952,                 1.9661,                 1.9106,                 2.4464,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.5147,                 1.4955,                 1.7233,                0.80716,                0.65385,                0.76626,                0.32242,                 1.9802,                 1.5166,                 2.4808,              0.0010694,              0.0010694,              0.0010694
                     50,                  1.501,                 1.4689,                 1.7016,                 0.9051,                0.73077,                0.80585,                0.34791,                 1.9672,                 1.4141,                 2.3788,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.5647,                 1.5076,                 1.7887,                0.94621,                0.73077,                 0.8702,                 0.4083,                 1.8957,                 1.3724,                  2.291,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.5389,                 1.3858,                 1.7335,                 0.8664,                0.80769,                0.84269,                0.41296,                 1.9025,                  1.349,                 2.2918,                0.00101,                0.00101,                0.00101
                     53,                 1.6011,                 1.4509,                 1.7584,                0.89845,                0.68097,                0.79481,                0.37282,                 1.9831,                   1.41,                 2.3812,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.5636,                 1.4759,                 1.7982,                      1,                0.67806,                0.78309,                0.34612,                 1.9933,                 1.5824,                 2.4884,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.4724,                 1.4928,                 1.6943,                0.97165,                0.69231,                0.80474,                 0.3361,                 1.9914,                 1.5901,                  2.516,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.4981,                 1.3465,                 1.6755,                0.82822,                0.74207,                0.83937,                0.38354,                 1.8966,                 1.4284,                 2.2574,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.4462,                 1.3449,                 1.6682,                 0.9304,                0.69231,                0.83629,                0.40958,                   1.83,                 1.3378,                 2.2141,               0.000911,               0.000911,               0.000911
                     58,                 1.4239,                  1.298,                 1.5956,                0.90094,                0.69231,                0.84241,                0.37796,                 1.9361,                 1.3638,                 2.2841,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.4057,                 1.3475,                 1.6619,                0.85634,                0.73077,                0.83715,                0.38989,                 1.9255,                 1.3582,                 2.2786,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.3565,                 1.2888,                 1.5477,                      1,                0.75575,                 0.8589,                0.43468,                 1.8586,                 1.2931,                  2.194,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.3848,                 1.2294,                 1.5541,                0.86507,                0.80769,                0.86283,                0.44647,                 1.7307,                 1.2193,                 2.1679,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.3178,                 1.2402,                  1.526,                0.75163,                0.81497,                0.79703,                0.39336,                 1.7863,                 1.3295,                 2.2573,               0.000812,               0.000812,               0.000812
                     63,                 1.4371,                 1.2791,                 1.6219,                0.68993,                0.80769,                0.78153,                0.34593,                 1.9205,                 1.4179,                 2.3484,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.4767,                 1.3338,                 1.7127,                0.77119,                0.73077,                0.77326,                0.31653,                 1.9416,                 1.5645,                 2.3683,              0.0007724,              0.0007724,              0.0007724
                     65,                  1.365,                 1.2223,                 1.5374,                0.67979,                0.69231,                0.70552,                 0.3197,                 1.9585,                 1.6179,                 2.3569,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.339,                 1.2883,                 1.5857,                0.69357,                0.65385,                0.71036,                0.35482,                 1.8593,                 1.5718,                 2.2616,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.3969,                 1.2283,                 1.6483,                0.90955,                    0.5,                0.69882,                0.33677,                 1.8841,                  1.605,                 2.2278,               0.000713,               0.000713,               0.000713
                     68,                 1.4259,                 1.3281,                 1.6012,                0.90415,                0.72579,                0.82417,                0.39003,                 1.8516,                 1.4832,                 2.2142,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.3821,                 1.2199,                  1.599,                0.94545,                0.66713,                0.83125,                0.41965,                 1.8271,                 1.3768,                 2.2254,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.3003,                 1.1349,                 1.5504,                0.90146,                0.70409,                0.85071,                0.43612,                 1.8053,                  1.328,                 2.1273,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.3499,                 1.1834,                 1.5535,                0.83209,                0.76923,                0.85528,                0.43009,                 1.8071,                 1.2617,                 2.1397,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.3285,                 1.1872,                 1.5392,                0.95744,                0.76923,                0.88078,                0.40889,                 1.8176,                 1.3103,                 2.1293,               0.000614,               0.000614,               0.000614
                     73,                 1.3281,                 1.2137,                 1.5366,                0.87771,                0.82853,                0.89796,                0.41276,                 1.8534,                 1.3236,                 2.1545,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.3632,                 1.1707,                 1.5593,                0.94284,                0.73077,                0.88892,                0.41319,                 1.8039,                 1.2982,                 2.1172,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.2974,                 1.1646,                   1.52,                0.85807,                0.80769,                0.87855,                0.46107,                 1.7577,                 1.2027,                 2.0648,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.2889,                 1.1462,                  1.544,                0.98662,                0.76923,                0.90374,                0.50307,                 1.6756,                 1.1222,                 1.9918,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.2813,                 1.1676,                 1.5188,                0.87312,                0.88462,                0.90987,                0.51463,                 1.6231,                 1.1236,                 1.9479,               0.000515,               0.000515,               0.000515
                     78,                 1.3238,                 1.2171,                 1.5618,                0.90697,                0.80769,                0.90424,                0.49441,                 1.6228,                 1.1673,                 1.9368,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.3322,                 1.1536,                  1.554,                0.86564,                0.74379,                0.89938,                0.46326,                  1.663,                 1.2191,                 1.9677,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.2553,                 1.1165,                 1.5061,                0.74869,                0.80226,                 0.8573,                0.41873,                 1.7182,                 1.2584,                 2.0158,              0.0004556,              0.0004556,              0.0004556
