                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77652,                 1.6576,                 1.2938,                0.74218,                0.27273,                0.40167,                 0.1355,                 2.3233,                 3.2176,                 3.7223,             0.00064815,             0.00064815,             0.00064815
                      2,                 0.7747,                 1.1652,                 1.2885,                0.33892,                0.43636,                0.29725,                0.08763,                 2.3068,                 3.1785,                 3.5885,              0.0013018,              0.0013018,              0.0013018
                      3,                0.79673,                 1.1159,                 1.2899,                0.37843,                 0.5092,                0.33911,                0.11821,                 2.1213,                 2.8497,                 3.5065,              0.0019422,              0.0019422,              0.0019422
                      4,                0.81535,                 1.0936,                 1.3117,                0.46377,                0.47273,                0.44934,                0.21354,                 2.1362,                 4.6057,                  3.883,              0.0019406,              0.0019406,              0.0019406
                      5,                0.77206,                 1.0725,                 1.2898,                0.20918,                0.30909,                0.16198,                0.08063,                 2.0097,                 5.2151,                 3.2178,              0.0019406,              0.0019406,              0.0019406
                      6,                0.76928,                0.99611,                  1.273,                0.23506,                    0.4,                0.17687,                0.05011,                 2.3322,                 3.3509,                 3.3631,              0.0019208,              0.0019208,              0.0019208
                      7,                0.74231,                0.90881,                 1.2406,                0.34773,                0.45455,                0.26886,                0.10321,                 2.0096,                 2.6621,                 3.0008,               0.001901,               0.001901,               0.001901
                      8,                0.70509,                0.87878,                 1.2189,                0.57334,                0.72727,                0.58182,                0.27994,                 1.7648,                 2.0505,                 3.1012,              0.0018812,              0.0018812,              0.0018812
                      9,                0.73069,                0.87847,                 1.2308,                0.81941,                0.49509,                0.59601,                0.30803,                 1.9351,                 3.0736,                 2.9329,              0.0018614,              0.0018614,              0.0018614
                     10,                0.68747,                0.88302,                 1.2113,                0.62144,                    0.4,                0.50006,                0.26747,                 1.7547,                 2.4118,                 2.5693,              0.0018416,              0.0018416,              0.0018416
                     11,                0.68454,                0.83161,                 1.2191,                0.79165,                0.69084,                0.76143,                0.40411,                 1.7485,                 1.6223,                 2.6519,              0.0018218,              0.0018218,              0.0018218
                     12,                0.69452,                0.85023,                  1.225,                0.81042,                0.54411,                0.68385,                0.29747,                 1.8824,                 1.8545,                 2.8047,               0.001802,               0.001802,               0.001802
                     13,                  0.714,                0.86615,                 1.2297,                0.88349,                0.68939,                0.78451,                0.40631,                  1.678,                  1.752,                 2.5589,              0.0017822,              0.0017822,              0.0017822
                     14,                0.67771,                0.86228,                 1.2158,                0.87651,                0.74545,                0.85892,                 0.4691,                 1.5337,                 1.7552,                 2.3164,              0.0017624,              0.0017624,              0.0017624
                     15,                0.66059,                0.79149,                 1.2102,                0.81932,                    0.8,                0.80574,                0.44346,                 1.7021,                 1.4517,                 2.6027,              0.0017426,              0.0017426,              0.0017426
                     16,                0.64806,                0.79356,                 1.1962,                0.79255,                0.81818,                0.85548,                 0.5413,                 1.4911,                 1.4963,                 2.2443,              0.0017228,              0.0017228,              0.0017228
                     17,                0.62664,                0.76378,                  1.176,                0.83095,                0.71507,                0.79048,                0.45444,                  1.527,                  1.695,                 2.3676,               0.001703,               0.001703,               0.001703
                     18,                0.61593,                0.82112,                 1.1802,                0.69557,                    0.6,                0.71377,                0.35914,                 1.7959,                 1.5545,                 2.7198,              0.0016832,              0.0016832,              0.0016832
                     19,                0.60321,                0.73877,                  1.165,                 0.8714,                 0.8625,                0.89373,                0.50587,                 1.4615,                 1.2562,                 2.3361,              0.0016634,              0.0016634,              0.0016634
                     20,                0.59886,                0.74941,                 1.1667,                0.88949,                0.70909,                0.84078,                0.44405,                 1.7289,                 1.4894,                 2.5248,              0.0016436,              0.0016436,              0.0016436
                     21,                0.62222,                0.75483,                 1.1945,                0.81655,                0.83636,                0.82936,                0.47083,                 1.5672,                 1.6159,                 2.3817,              0.0016238,              0.0016238,              0.0016238
                     22,                0.62735,                0.77133,                 1.1846,                0.85397,                0.81818,                0.89386,                0.52636,                 1.4789,                 1.1921,                 2.2849,               0.001604,               0.001604,               0.001604
                     23,                0.62543,                0.75538,                 1.1838,                0.90982,                0.78182,                0.88303,                0.51146,                 1.4645,                 1.2125,                 2.2503,              0.0015842,              0.0015842,              0.0015842
                     24,                0.69842,                0.95072,                 1.2564,                0.78894,                0.74763,                0.83496,                  0.466,                 1.6096,                 1.8062,                 2.3652,              0.0015644,              0.0015644,              0.0015644
                     25,                0.61674,                0.70422,                  1.169,                0.75665,                0.63636,                0.68891,                0.35034,                 1.7498,                 2.2741,                  2.553,              0.0015446,              0.0015446,              0.0015446
                     26,                0.61268,                 0.7378,                 1.1822,                0.92148,                0.70909,                0.79329,                0.46845,                 1.5888,                 1.2914,                 2.4901,              0.0015248,              0.0015248,              0.0015248
                     27,                 0.5731,                 0.6996,                 1.1453,                0.78583,                0.81818,                0.81776,                0.50093,                 1.5058,                 1.0779,                 2.3205,               0.001505,               0.001505,               0.001505
                     28,                0.58281,                0.68543,                 1.1452,                0.84206,                0.72727,                0.79237,                0.40949,                 1.7861,                 1.1611,                 2.6754,              0.0014852,              0.0014852,              0.0014852
                     29,                0.56889,                0.70064,                  1.144,                0.82978,                0.72727,                 0.8484,                0.54326,                 1.3552,                 1.0719,                 2.1015,              0.0014654,              0.0014654,              0.0014654
                     30,                0.59534,                0.70208,                 1.1536,                0.83417,                0.74545,                0.85444,                0.50236,                 1.5265,                0.98768,                 2.1882,              0.0014456,              0.0014456,              0.0014456
                     31,                0.57512,                0.68861,                 1.1452,                0.89072,                0.74545,                0.84477,                0.53351,                 1.4555,                 1.0394,                 2.1801,              0.0014258,              0.0014258,              0.0014258
                     32,                0.58289,                0.70282,                 1.1528,                0.90816,                0.89907,                0.92032,                0.56791,                 1.4569,                  1.039,                 2.2349,               0.001406,               0.001406,               0.001406
                     33,                0.55949,                0.65276,                 1.1357,                0.91507,                    0.8,                0.90038,                0.55355,                 1.3589,                  1.076,                 2.1291,              0.0013862,              0.0013862,              0.0013862
                     34,                0.56874,                0.67898,                 1.1422,                0.83901,                    0.8,                0.86346,                0.48609,                 1.4001,                 1.2995,                 2.1636,              0.0013664,              0.0013664,              0.0013664
                     35,                0.57888,                0.65116,                 1.1388,                0.87559,                0.87273,                0.88634,                0.49569,                 1.4949,                0.97354,                 2.3719,              0.0013466,              0.0013466,              0.0013466
                     36,                0.59373,                0.69084,                 1.1438,                0.95294,                    0.8,                0.92758,                0.55272,                 1.4031,                0.91553,                 2.1627,              0.0013268,              0.0013268,              0.0013268
                     37,                 0.5531,                0.64539,                 1.1279,                0.84391,                0.85455,                0.89836,                0.49962,                 1.5401,                 1.0724,                 2.3941,               0.001307,               0.001307,               0.001307
                     38,                0.54284,                 0.6644,                   1.13,                0.81554,                    0.8,                0.85538,                0.51059,                 1.4903,                 1.0081,                 2.3581,              0.0012872,              0.0012872,              0.0012872
                     39,                0.55568,                0.66224,                 1.1331,                0.78875,                0.83636,                0.84894,                0.49799,                 1.4196,                 1.1835,                 2.3182,              0.0012674,              0.0012674,              0.0012674
                     40,                0.55185,                0.64496,                 1.1415,                0.91431,                0.87273,                0.91012,                 0.5601,                 1.3318,                0.95381,                 2.1247,              0.0012476,              0.0012476,              0.0012476
                     41,                0.56432,                0.63374,                 1.1391,                0.91561,                0.87273,                0.90558,                 0.5648,                  1.394,                0.99285,                 2.1041,              0.0012278,              0.0012278,              0.0012278
                     42,                0.52719,                0.60735,                 1.1035,                0.75885,                0.74382,                0.82886,                 0.4503,                 1.6825,                 1.1147,                 2.4397,               0.001208,               0.001208,               0.001208
                     43,                0.53253,                0.61429,                 1.1162,                0.89521,                0.93206,                0.94519,                0.56025,                 1.4732,                0.90345,                 2.1885,              0.0011882,              0.0011882,              0.0011882
                     44,                0.53921,                0.60739,                 1.1188,                0.70191,                0.74545,                0.78401,                0.46782,                 1.5925,                 1.1482,                 2.3178,              0.0011684,              0.0011684,              0.0011684
