                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9419,                 2.7116,                 1.9903,                0.00316,                0.85882,                0.21776,                0.07209,                 2.2403,                 3.6275,                 2.6972,                0.00032,                0.00032,                0.00032
                      2,                 1.8243,                 2.3734,                 1.8614,                0.00268,                0.72941,                 0.1686,                0.06764,                 2.5106,                 3.8723,                 2.8706,             0.00065347,             0.00065347,             0.00065347
                      3,                 1.9116,                 2.3872,                 1.9508,                0.13548,                0.22863,                0.09666,                0.02742,                 2.6294,                 3.3499,                 3.3137,              0.0009802,              0.0009802,              0.0009802
                      4,                 1.8757,                 2.2863,                 1.8838,                 0.1954,                    0.2,                 0.1242,                0.04002,                 2.7755,                 3.5596,                   3.28,              0.0013002,              0.0013002,              0.0013002
                      5,                 1.9464,                 2.3384,                  1.983,                0.15301,                0.12941,                0.04288,                0.01166,                  3.506,                 5.4613,                  4.544,              0.0016135,              0.0016135,              0.0016135
                      6,                 1.9376,                 2.2996,                 1.9634,                0.17745,                0.25882,                0.09421,                0.02349,                 2.9646,                 7.3037,                 3.8429,               0.001901,               0.001901,               0.001901
                      7,                 1.9457,                 2.2208,                 1.9734,                0.03404,                0.04706,                0.02031,                0.00425,                 3.9768,                 19.949,                 6.0817,               0.001901,               0.001901,               0.001901
                      8,                 1.9789,                 2.2725,                 1.9781,                0.18717,                0.24706,                0.13458,                0.03758,                 2.6828,                 4.7489,                 3.4354,              0.0018812,              0.0018812,              0.0018812
                      9,                  1.889,                  2.136,                 1.9307,                0.20981,                0.30588,                0.13507,                0.03983,                 2.2816,                  7.416,                 3.3309,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.9079,                 2.1149,                 1.9059,                0.19833,                0.23529,                0.12112,                0.04163,                 2.0684,                 5.1133,                 2.6359,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.9289,                 2.1538,                 1.9261,                0.31776,                0.42353,                0.37306,                0.12549,                 1.9736,                    2.8,                 2.5138,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.8822,                 2.1117,                 1.9058,                0.24414,                0.44706,                0.21536,                0.07651,                 2.3578,                 2.9477,                 2.7193,               0.001802,               0.001802,               0.001802
                     13,                 1.9124,                 2.1004,                 1.9202,                0.34019,                0.38824,                 0.2651,                0.08384,                 2.2311,                 3.8221,                 2.6432,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.8718,                 1.9957,                  1.876,                 0.1788,                0.38824,                0.13443,                 0.0363,                 2.2739,                  4.078,                 2.5808,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.9095,                 1.9821,                  1.919,                0.29115,                0.34118,                0.21547,                0.06914,                 2.1479,                 2.7797,                  2.437,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.8836,                 2.0025,                 1.9229,                0.49023,                0.50588,                0.48753,                0.16757,                 2.0784,                 2.9783,                 2.3924,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.8513,                 2.0068,                 1.8703,                0.48399,                0.48235,                0.46379,                0.15112,                 2.0059,                 2.8413,                 2.2528,               0.001703,               0.001703,               0.001703
                     18,                 1.8244,                 1.8893,                 1.8068,                0.56389,                0.52941,                0.47021,                0.16438,                 2.2726,                 2.3151,                 2.5263,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.8986,                 1.9449,                 1.8894,                0.51174,                0.56471,                0.51098,                0.19742,                 2.0899,                 2.1132,                 2.2929,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.8307,                 1.9193,                 1.8348,                0.37908,                0.52434,                0.38379,                0.13347,                 2.1827,                 2.1597,                 2.4122,              0.0016436,              0.0016436,              0.0016436
                     21,                  1.833,                 1.8387,                 1.8119,                0.45707,                0.51765,                0.42728,                0.13815,                 2.1465,                 2.1962,                  2.333,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.7967,                 1.8283,                 1.7905,                0.48964,                0.56471,                0.50125,                0.18478,                 2.0357,                 1.9537,                 2.2761,               0.001604,               0.001604,               0.001604
                     23,                  1.772,                 1.7368,                  1.797,                 0.6037,                0.59144,                 0.5433,                0.19214,                 2.0107,                 2.0041,                 2.2537,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.7827,                 1.8368,                 1.8042,                0.44406,                 0.4511,                0.38244,                0.16238,                 2.0829,                 2.3106,                  2.356,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.7847,                 1.7609,                 1.7818,                0.41138,                0.49412,                0.41269,                0.15408,                  2.056,                 2.1345,                 2.2915,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.7791,                 1.7224,                 1.7747,                0.55173,                0.57647,                0.58167,                0.22097,                 2.0139,                 2.0111,                 2.3188,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.7647,                  1.768,                 1.7822,                0.48046,                0.61176,                0.51184,                0.19875,                 2.0452,                 2.0796,                  2.386,               0.001505,               0.001505,               0.001505
                     28,                   1.72,                 1.6499,                 1.7334,                0.44522,                0.54118,                0.38455,                0.12852,                 2.2511,                 2.2352,                 2.4858,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.7525,                 1.7379,                 1.7773,                0.55082,                0.54825,                0.49604,                0.19883,                  2.096,                 2.2558,                 2.3463,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.7293,                 1.7441,                 1.7797,                0.63954,                0.57647,                 0.5901,                0.22677,                 2.0073,                 2.0782,                 2.2788,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.7526,                 1.7006,                 1.7569,                0.59266,                0.61176,                0.54671,                0.21456,                 2.0152,                 1.8596,                 2.2288,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.7465,                 1.6375,                 1.7473,                0.65916,                0.59159,                0.55374,                0.19911,                 2.0558,                 1.7608,                 2.2642,               0.001406,               0.001406,               0.001406
                     33,                 1.7436,                 1.5807,                 1.7425,                0.61727,                0.45882,                0.44506,                0.17565,                 2.1886,                 1.9175,                 2.3444,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.7385,                 1.6185,                 1.7479,                0.73161,                0.61176,                0.63966,                 0.2418,                 2.0482,                 1.7581,                 2.2188,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.7027,                 1.6429,                 1.7427,                0.70655,                0.63529,                0.63392,                0.23998,                 1.9761,                 1.7363,                  2.229,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.7014,                 1.6187,                  1.709,                0.69895,                0.67059,                0.65637,                0.26158,                 1.9693,                 1.8387,                 2.2097,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.6852,                 1.6032,                 1.7306,                0.64934,                0.61176,                0.59595,                0.23119,                 2.0295,                  2.117,                 2.2788,               0.001307,               0.001307,               0.001307
                     38,                 1.6699,                 1.5194,                 1.7157,                0.70263,                0.42353,                0.45955,                0.15265,                 2.3104,                 2.6682,                 2.6759,              0.0012872,              0.0012872,              0.0012872
