                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3104,                 2.6587,                 1.8053,                0.00333,                      1,                0.54657,                0.29374,                 1.1208,                 3.4171,                 1.9612,                0.00016,                0.00016,                0.00016
                      2,                 1.2709,                 2.0434,                 1.7282,                0.00333,                      1,                0.45498,                0.18176,                 1.2298,                 3.3633,                 2.0407,             0.00033663,             0.00033663,             0.00033663
                      3,                 1.2481,                 1.7373,                 1.6922,                  0.059,                  0.925,                0.49536,                0.22639,                 1.7171,                 3.4185,                 2.6119,              0.0005097,              0.0005097,              0.0005097
                      4,                 1.2603,                 1.6664,                 1.7211,                0.00208,                  0.625,                0.11272,                0.03766,                 2.6839,                 4.2354,                 3.5609,             0.00067921,             0.00067921,             0.00067921
                      5,                 1.2766,                 1.8204,                 1.7681,                0.38971,                   0.55,                0.43809,                0.14649,                 1.8144,                 3.6353,                 2.8946,             0.00084515,             0.00084515,             0.00084515
                      6,                 1.2972,                 1.6208,                 1.6831,                0.51556,                   0.65,                0.61969,                0.23434,                 1.7593,                 3.0223,                 2.9711,              0.0010075,              0.0010075,              0.0010075
                      7,                  1.307,                 1.5771,                 1.6977,                0.49696,                   0.55,                0.60073,                 0.2369,                 1.9096,                  2.771,                 3.5365,              0.0011663,              0.0011663,              0.0011663
                      8,                 1.3051,                 1.5432,                 1.6999,                0.36164,                    0.4,                0.29818,                0.07869,                 2.6902,                 4.0714,                 6.0116,              0.0013216,              0.0013216,              0.0013216
                      9,                 1.3102,                 1.5059,                 1.7069,                0.20277,                  0.575,                0.19765,                0.07629,                 1.8442,                 3.1717,                 3.1118,              0.0014733,              0.0014733,              0.0014733
                     10,                 1.3085,                 1.5401,                 1.7537,                0.43875,                0.48873,                0.43536,                0.17116,                 1.5959,                 2.7279,                 2.5975,              0.0016214,              0.0016214,              0.0016214
                     11,                 1.4078,                 1.5789,                  1.794,                0.16061,                  0.275,                0.12091,                0.04397,                 2.2605,                 3.3902,                 3.1869,               0.001766,               0.001766,               0.001766
                     12,                 1.3768,                 1.5001,                 1.7586,                 0.2444,                  0.625,                0.29941,                0.07943,                 2.2395,                 2.8563,                 3.5949,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4445,                 1.4985,                 1.8497,                0.12857,                   0.65,                0.12081,                0.03858,                 2.2708,                 3.0869,                 3.6521,              0.0017822,              0.0017822,              0.0017822
                     14,                  1.383,                 1.5348,                 1.7589,                0.02533,                  0.225,                0.01761,                0.00381,                 3.2323,                 5.0261,                 4.1667,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.3325,                 1.3886,                  1.712,                0.17413,                    0.3,                0.14139,                0.03318,                  2.584,                 7.1835,                 3.6945,              0.0017426,              0.0017426,              0.0017426
                     16,                  1.381,                 1.4274,                 1.7725,                0.30311,                  0.425,                0.21827,                0.07178,                  2.431,                 3.7149,                 3.5598,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.4287,                 1.4433,                 1.8183,                0.47433,                0.49636,                0.42122,                0.13016,                 2.1084,                 2.6745,                 3.1165,               0.001703,               0.001703,               0.001703
                     18,                 1.4076,                 1.4828,                 1.7821,                0.72382,                  0.675,                0.70375,                0.26801,                 1.8125,                 1.9543,                 2.9345,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.3898,                 1.3556,                 1.7262,                0.65468,                    0.7,                0.64463,                0.22086,                 2.1974,                 2.0289,                 3.0798,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.3366,                 1.3105,                 1.7341,                0.55924,                0.79309,                0.68638,                0.24339,                 2.0127,                 1.8248,                 3.1797,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.2648,                  1.297,                 1.6548,                0.38641,                    0.5,                0.40656,                0.15607,                 1.9685,                 2.2483,                 2.8349,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.3448,                 1.3261,                 1.7528,                0.78644,                   0.45,                0.61877,                0.24613,                 1.7409,                 2.0352,                 2.4675,               0.001604,               0.001604,               0.001604
                     23,                 1.2804,                 1.2772,                 1.6607,                0.63582,                  0.575,                0.63275,                0.27437,                 1.7326,                  1.753,                  2.458,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.2981,                 1.2568,                 1.7025,                 0.7792,                0.79411,                0.80777,                 0.3478,                 1.8708,                 1.4963,                  2.627,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.2233,                 1.1868,                 1.6012,                0.86817,                0.82325,                 0.8413,                0.42293,                 1.7082,                  1.318,                 2.5639,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.2975,                 1.2092,                 1.6646,                0.79881,                    0.8,                0.84479,                0.40422,                 1.6929,                 1.5328,                 2.4988,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.1632,                  1.104,                 1.6108,                0.75658,                  0.725,                0.79654,                0.31207,                 1.9354,                 1.5775,                 2.8949,               0.001505,               0.001505,               0.001505
                     28,                 1.3137,                 1.2067,                 1.7448,                 0.7418,                  0.775,                0.78035,                 0.3584,                 1.8022,                 1.5087,                 2.8784,              0.0014852,              0.0014852,              0.0014852
                     29,                  1.321,                 1.2487,                 1.7228,                0.80449,                    0.8,                0.84742,                0.45046,                   1.68,                 1.3484,                 2.5698,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.2595,                 1.1669,                 1.6863,                0.81481,                    0.8,                0.86381,                0.44471,                 1.6482,                  1.292,                 2.6529,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.2791,                 1.1804,                 1.6637,                0.77914,                  0.675,                0.75606,                0.33461,                 1.8901,                 1.6064,                  3.004,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.1952,                 1.0761,                  1.566,                0.76198,                  0.725,                0.70019,                0.28926,                 1.9634,                 1.7082,                 3.2193,               0.001406,               0.001406,               0.001406
                     33,                 1.1817,                 1.1316,                 1.5985,                0.79299,                    0.8,                0.79394,                0.29128,                 1.9473,                 1.4597,                 3.2187,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.1405,                 1.0341,                 1.5625,                0.76512,                0.81453,                0.82816,                0.34437,                 1.7675,                 1.4133,                 2.6817,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.1291,                 1.0186,                 1.5312,                0.52668,                   0.45,                0.48099,                0.20221,                 1.7184,                  2.006,                 2.3709,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1712,                 1.1022,                 1.5897,                0.73081,                  0.625,                0.72098,                 0.3503,                 1.6159,                 1.7606,                 2.3744,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1899,                 1.0108,                 1.5826,                0.65087,                   0.75,                0.72557,                0.29388,                 1.7257,                 1.7443,                 2.5804,               0.001307,               0.001307,               0.001307
                     38,                 1.1176,                0.95508,                 1.5607,                0.92087,                  0.725,                0.85394,                0.35815,                  1.774,                 1.3398,                 2.5811,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1284,                0.92486,                 1.5723,                0.82339,                   0.85,                0.89171,                0.47878,                 1.5318,                 1.2031,                 2.2942,              0.0012674,              0.0012674,              0.0012674
                     40,                   1.11,                0.93122,                 1.5036,                0.92054,                    0.9,                0.92056,                0.51867,                 1.4815,                0.97554,                 2.2847,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1559,                0.96177,                 1.5422,                0.98657,                    0.9,                0.96047,                0.55501,                 1.4526,                 0.9561,                 2.2057,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.1533,                0.97895,                 1.5703,                0.87673,                0.88915,                0.93816,                0.54781,                 1.3422,                 1.0372,                 2.0873,               0.001208,               0.001208,               0.001208
                     43,                 1.1382,                 0.9733,                 1.5427,                0.88113,                    0.9,                0.95115,                0.59067,                 1.2123,                0.96162,                 1.9405,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0872,                0.89827,                 1.5123,                0.87487,                0.87396,                0.95566,                 0.5406,                 1.2661,                 1.0917,                  2.005,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.0774,                0.89281,                  1.526,                0.87656,                0.88778,                0.92895,                0.52762,                 1.3197,                  0.986,                 2.0655,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0648,                0.88911,                 1.4557,                0.90461,                0.94833,                 0.9546,                0.55753,                 1.3683,                0.91612,                 2.1272,              0.0011288,              0.0011288,              0.0011288
