                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8285,                 1.7764,                 1.3107,                0.77721,                0.57095,                0.76501,                0.41253,                 1.2172,                 2.7693,                 2.1631,                0.00044,                0.00044,                0.00044
                      2,                0.83024,                 1.2215,                 1.3112,                0.59343,                0.43636,                0.52866,                0.23614,                 1.7407,                 2.8426,                 3.0444,             0.00089109,             0.00089109,             0.00089109
                      3,                0.84203,                 1.0706,                 1.2771,                0.05089,                0.27273,                0.04386,                0.01305,                 2.4266,                 4.3033,                 3.1735,              0.0013331,              0.0013331,              0.0013331
                      4,                0.86397,                 1.0704,                 1.2946,                0.42877,                0.52727,                0.49461,                0.19069,                 1.9327,                 2.8672,                 3.9148,              0.0017659,              0.0017659,              0.0017659
                      5,                0.84958,                 1.0261,                 1.2966,                0.66509,                0.57779,                0.66344,                0.32443,                 1.5552,                  2.173,                 2.8036,              0.0019208,              0.0019208,              0.0019208
                      6,                0.90326,                 1.0531,                  1.334,                0.86987,                0.50909,                0.66227,                0.23892,                  2.097,                 2.0284,                 3.5844,              0.0019208,              0.0019208,              0.0019208
                      7,                0.86036,                0.97086,                 1.3087,                0.54843,                0.50909,                0.48478,                0.21113,                 1.9901,                 2.3426,                 3.1435,               0.001901,               0.001901,               0.001901
                      8,                0.86652,                0.92409,                 1.3041,                0.49532,                0.78182,                0.57233,                0.24447,                 1.7841,                 2.4903,                 2.8427,              0.0018812,              0.0018812,              0.0018812
                      9,                0.81209,                0.92928,                  1.265,                0.67387,                0.71387,                0.70735,                 0.3288,                 1.6843,                 2.4504,                 2.7261,              0.0018614,              0.0018614,              0.0018614
                     10,                 0.8731,                0.95197,                 1.2948,                0.78086,                0.83636,                0.86866,                0.47095,                 1.4322,                 1.3774,                 2.4728,              0.0018416,              0.0018416,              0.0018416
                     11,                 0.8268,                 0.8976,                  1.281,                0.83778,                    0.8,                0.82968,                 0.4433,                 1.4581,                 1.7198,                 2.4186,              0.0018218,              0.0018218,              0.0018218
                     12,                 0.7917,                 0.8515,                 1.2559,                0.84525,                0.89384,                0.93892,                0.52507,                 1.4508,                   1.19,                 2.1439,               0.001802,               0.001802,               0.001802
                     13,                0.79251,                0.79127,                 1.2307,                0.93336,                0.76364,                0.85838,                 0.4494,                 1.6726,                 1.3995,                 2.5807,              0.0017822,              0.0017822,              0.0017822
                     14,                0.81465,                0.81667,                  1.262,                0.75616,                0.87273,                0.86177,                 0.4446,                 1.4868,                  1.502,                 2.2891,              0.0017624,              0.0017624,              0.0017624
                     15,                0.78773,                0.84925,                 1.2366,                0.87349,                0.87884,                 0.9407,                0.43904,                 1.5593,                 1.2841,                  2.425,              0.0017426,              0.0017426,              0.0017426
                     16,                 0.7669,                0.77338,                 1.2409,                0.87866,                0.81818,                0.88942,                0.44703,                 1.7049,                  1.554,                 2.5659,              0.0017228,              0.0017228,              0.0017228
                     17,                  0.747,                0.75221,                 1.2125,                 0.8871,                0.70909,                0.83781,                0.48392,                 1.5848,                 1.1979,                 2.3555,               0.001703,               0.001703,               0.001703
                     18,                0.73615,                0.75056,                 1.2005,                0.87368,                0.75464,                0.86231,                0.48442,                 1.4609,                 1.2264,                 2.2203,              0.0016832,              0.0016832,              0.0016832
                     19,                0.68146,                0.68113,                 1.1571,                 0.7645,                0.83636,                0.83095,                0.51411,                 1.2932,                 1.2377,                 2.0422,              0.0016634,              0.0016634,              0.0016634
                     20,                0.68035,                0.72408,                 1.1937,                0.85694,                0.87273,                0.92334,                  0.575,                 1.2382,                 1.0793,                 1.9258,              0.0016436,              0.0016436,              0.0016436
                     21,                0.67118,                 0.7087,                 1.1679,                0.93453,                0.87273,                0.91085,                0.50747,                 1.3885,                  0.965,                 2.3526,              0.0016238,              0.0016238,              0.0016238
                     22,                0.68987,                0.69128,                 1.2038,                0.85709,                0.87236,                0.88283,                0.49503,                 1.4784,                 1.2456,                  2.312,               0.001604,               0.001604,               0.001604
                     23,                0.72979,                0.75493,                 1.2037,                0.77381,                0.74644,                0.79484,                0.43868,                 1.3986,                 1.4301,                 2.1338,              0.0015842,              0.0015842,              0.0015842
                     24,                0.68279,                0.67849,                   1.18,                 0.9572,                0.81332,                0.93524,                 0.6045,                 1.2152,                0.92062,                 1.8899,              0.0015644,              0.0015644,              0.0015644
                     25,                0.65363,                0.64875,                  1.152,                0.90257,                0.87273,                0.94662,                0.59927,                  1.224,                0.85781,                 1.9529,              0.0015446,              0.0015446,              0.0015446
                     26,                0.67539,                0.64879,                 1.1632,                0.93674,                0.80782,                0.94029,                0.61833,                 1.2824,                 1.0129,                 1.9163,              0.0015248,              0.0015248,              0.0015248
                     27,                0.68633,                0.71087,                 1.2071,                0.91973,                0.90909,                0.96308,                0.61245,                 1.0929,                0.93762,                 1.8365,               0.001505,               0.001505,               0.001505
                     28,                0.65269,                0.68914,                 1.1631,                0.80599,                0.83094,                0.85634,                0.57229,                 1.1491,                0.92509,                 1.8754,              0.0014852,              0.0014852,              0.0014852
                     29,                 0.6369,                0.63543,                 1.1545,                 0.8184,                0.87273,                0.91515,                0.58627,                 1.2162,                  1.017,                 1.9565,              0.0014654,              0.0014654,              0.0014654
                     30,                0.64095,                0.64255,                 1.1641,                0.95488,                0.94545,                 0.9501,                0.60763,                 1.2771,                0.88312,                 1.9377,              0.0014456,              0.0014456,              0.0014456
                     31,                0.64805,                 0.6425,                  1.164,                0.86501,                0.93212,                0.96085,                0.64305,                 1.1341,                0.82586,                 1.7955,              0.0014258,              0.0014258,              0.0014258
                     32,                0.64509,                0.63819,                 1.1453,                0.86376,                0.81818,                 0.8957,                 0.6026,                 1.1348,                0.86555,                 1.8154,               0.001406,               0.001406,               0.001406
                     33,                0.66426,                0.62798,                 1.1646,                0.95586,                    0.8,                0.91208,                0.65613,                 1.0629,                  0.849,                 1.7466,              0.0013862,              0.0013862,              0.0013862
                     34,                0.68155,                0.66178,                  1.187,                0.90653,                0.88175,                0.96491,                 0.6424,                 1.1434,                 0.8031,                 1.8374,              0.0013664,              0.0013664,              0.0013664
                     35,                0.62161,                0.62691,                 1.1504,                0.85843,                 0.8821,                0.92164,                0.61504,                  1.261,                 0.8521,                 1.9374,              0.0013466,              0.0013466,              0.0013466
                     36,                0.63444,                0.59848,                 1.1451,                0.87163,                0.90909,                0.91853,                0.66683,                 1.0248,                0.77849,                 1.6394,              0.0013268,              0.0013268,              0.0013268
                     37,                0.64805,                 0.6376,                 1.1411,                 0.9052,                0.86808,                0.92103,                0.59844,                 1.2061,                0.85648,                 1.8405,               0.001307,               0.001307,               0.001307
                     38,                  0.636,                0.62724,                 1.1476,                0.94349,                0.81818,                0.91736,                 0.6294,                 1.1361,                0.84092,                 1.8405,              0.0012872,              0.0012872,              0.0012872
                     39,                0.60715,                0.58327,                 1.1173,                0.81949,                0.92727,                0.90341,                0.61349,                 1.1582,                0.75427,                 1.9052,              0.0012674,              0.0012674,              0.0012674
                     40,                0.61877,                0.61897,                 1.1368,                0.94499,                0.93717,                0.95779,                0.59323,                 1.2177,                 0.7084,                 1.8724,              0.0012476,              0.0012476,              0.0012476
                     41,                0.58865,                0.59151,                 1.1175,                0.85686,                0.89091,                0.95113,                0.66866,                 1.0849,                0.70832,                 1.7612,              0.0012278,              0.0012278,              0.0012278
                     42,                0.63489,                0.59603,                 1.1594,                0.90378,                0.94545,                0.96802,                0.60934,                 1.2549,                0.75419,                 2.0006,               0.001208,               0.001208,               0.001208
                     43,                0.58921,                0.59274,                 1.1182,                0.90012,                0.89091,                0.93083,                0.61471,                 1.1438,                0.81551,                 1.8374,              0.0011882,              0.0011882,              0.0011882
                     44,                0.59084,                0.57802,                 1.1284,                0.84076,                0.96004,                0.95274,                0.66211,                 1.0526,                0.71236,                 1.7793,              0.0011684,              0.0011684,              0.0011684
                     45,                0.54819,                0.56872,                 1.0982,                0.88024,                0.93558,                0.95019,                 0.6436,                 1.1308,                0.76086,                 1.8539,              0.0011486,              0.0011486,              0.0011486
                     46,                0.58475,                0.56043,                 1.1039,                0.92959,                0.96023,                  0.956,                0.64649,                 1.0601,                0.77312,                 1.7954,              0.0011288,              0.0011288,              0.0011288
                     47,                0.59924,                0.57373,                 1.1267,                0.90826,                0.94545,                0.95505,                0.68449,                0.96272,                0.69219,                 1.6355,               0.001109,               0.001109,               0.001109
