                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.361,                 3.2662,                 2.2137,                0.00745,                0.65517,                 0.0451,                0.01417,                 2.3786,                 3.6487,                 2.5457,                0.00042,                0.00042,                0.00042
                      2,                 2.1563,                 2.8283,                 2.0533,                0.00471,                0.41379,                 0.0464,                0.01168,                 2.8557,                 3.5433,                  2.658,             0.00085149,             0.00085149,             0.00085149
                      3,                 2.0696,                 2.6239,                 1.9684,                0.00216,                0.18966,                0.00297,                0.00079,                 4.0977,                 4.6863,                 4.8009,              0.0012743,              0.0012743,              0.0012743
                      4,                 2.0641,                 2.3786,                 1.9078,                0.20143,                0.08621,                0.04225,                 0.0098,                 2.8266,                 3.5671,                 3.0504,              0.0016883,              0.0016883,              0.0016883
                      5,                 2.1145,                  2.433,                 1.9501,                0.02899,                0.06897,                0.01434,                0.00413,                 2.7376,                 11.354,                 3.1708,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.0684,                 2.3111,                 1.9226,                0.12717,                0.25862,                 0.0612,                0.01498,                 2.8503,                  3.638,                 2.7258,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.0421,                 2.2266,                 1.8846,                0.14194,                 0.2931,                0.08281,                0.01957,                 2.5903,                 3.9047,                 2.4339,               0.001901,               0.001901,               0.001901
                      8,                 2.0066,                  2.207,                 1.8974,                0.24541,                0.31034,                 0.1645,                0.05504,                 2.4868,                 3.7726,                 2.3445,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.0136,                 2.0727,                 1.8976,                0.50507,                0.32759,                0.31615,                0.09647,                 2.4127,                 2.4095,                  2.274,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.0027,                 2.0909,                 1.8947,                0.54088,                0.34531,                0.39957,                 0.1468,                 2.2187,                 2.4403,                 2.0672,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.9771,                 1.9947,                 1.8439,                0.68373,                0.48276,                0.55704,                0.19563,                 2.0986,                 1.9377,                  2.033,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.9089,                 1.8821,                 1.7792,                0.26367,                0.39655,                0.21435,                0.07612,                 2.2777,                 3.0385,                 2.1735,               0.001802,               0.001802,               0.001802
                     13,                 1.8989,                  1.817,                 1.7526,                0.38292,                0.55172,                0.32746,                0.11289,                 2.3246,                 2.1771,                 2.0274,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.8927,                 1.8127,                 1.7251,                 0.2607,                0.48276,                0.24132,                 0.0652,                 2.2316,                 2.6447,                 2.1029,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.8809,                 1.7736,                 1.7651,                0.57165,                0.48276,                0.49194,                0.19803,                 2.0646,                 2.0387,                 1.8701,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.8304,                 1.7644,                 1.7452,                0.64183,                0.53448,                0.53635,                0.19912,                 2.1319,                 1.8165,                 1.8666,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.7822,                 1.6761,                 1.6996,                0.53521,                0.39655,                0.43744,                0.17364,                 2.1543,                 2.1276,                 2.0453,               0.001703,               0.001703,               0.001703
                     18,                 1.7819,                 1.5681,                 1.6524,                0.64341,                0.53448,                0.56879,                0.20443,                 2.1034,                  1.708,                 1.9341,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.7805,                   1.58,                 1.6731,                0.64979,                0.63793,                0.66061,                0.25944,                 2.0288,                 1.6358,                 1.8547,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.7163,                 1.5094,                 1.6221,                0.72125,                 0.6246,                0.69766,                0.25165,                 2.1326,                 1.6626,                 1.9568,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.6906,                 1.4348,                 1.5878,                0.45707,                0.39197,                0.34921,                0.13439,                 2.2029,                 2.0959,                 2.0438,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.6907,                 1.4673,                  1.639,                0.48717,                0.51724,                0.53624,                0.19915,                 2.1979,                 1.8483,                 2.0406,               0.001604,               0.001604,               0.001604
                     23,                 1.6724,                 1.5469,                 1.6168,                 0.6422,                0.67241,                0.63519,                 0.2486,                 2.0885,                 1.5568,                 1.8503,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.6811,                  1.406,                  1.616,                0.61961,                0.64602,                 0.6175,                0.23687,                 2.1283,                  1.634,                 1.9457,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.6657,                 1.3738,                 1.5963,                0.69585,                0.51724,                0.60968,                0.27138,                 2.0353,                 1.6096,                 1.8171,              0.0015446,              0.0015446,              0.0015446
