                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3899,                 3.2638,                 1.8648,                0.03662,                      1,                0.39255,                0.16658,                 1.1418,                 4.0609,                 2.0779,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 1.3052,                 2.7451,                 1.7595,                 0.1625,                      1,                0.59065,                 0.2049,                 1.4041,                 3.9967,                 2.2713,             0.00018393,             0.00018393,             0.00018393
                      3,                 1.2283,                 2.1209,                 1.7122,                0.31579,                0.92308,                 0.6414,                0.26272,                 1.7208,                 4.1802,                 2.5845,             0.00028014,             0.00028014,             0.00028014
                      4,                 1.2522,                 1.9643,                 1.7291,                0.14607,                      1,                0.70186,                0.42593,                  1.431,                 3.7864,                 2.3946,             0.00037437,             0.00037437,             0.00037437
                      5,                 1.2923,                 2.0406,                  1.757,                0.39057,                0.76923,                 0.6144,                0.24581,                 1.7963,                 3.8057,                 2.7659,             0.00046662,             0.00046662,             0.00046662
                      6,                  1.279,                 1.9062,                 1.7267,                0.50851,                0.39902,                0.62125,                0.21243,                 1.6175,                 3.5762,                  2.858,             0.00055689,             0.00055689,             0.00055689
                      7,                 1.2339,                 1.7368,                 1.6444,                0.82557,                0.72982,                0.85718,                0.35141,                  1.584,                 3.1879,                 3.1961,             0.00064518,             0.00064518,             0.00064518
                      8,                 1.3307,                 1.7205,                 1.7386,                0.61522,                0.61538,                0.79233,                0.20649,                 1.9014,                 3.0748,                 3.4202,             0.00073148,             0.00073148,             0.00073148
                      9,                 1.3067,                 1.7131,                 1.6739,                0.47324,                0.76923,                0.62571,                0.19218,                 1.7619,                 3.1492,                 3.0304,             0.00081581,             0.00081581,             0.00081581
                     10,                 1.2511,                 1.7213,                 1.6763,                 0.6163,                0.38462,                0.48275,                0.19666,                 1.7541,                 3.3292,                  3.044,             0.00089816,             0.00089816,             0.00089816
                     11,                 1.3079,                 1.7976,                 1.7532,                 0.1925,                0.23077,                0.13456,                0.04916,                 2.8084,                 4.2855,                 4.9771,             0.00097852,             0.00097852,             0.00097852
                     12,                 1.3992,                 1.7577,                 1.7793,                0.18701,                0.23077,                0.22872,                0.07695,                  1.778,                 3.5899,                 3.9895,              0.0010569,              0.0010569,              0.0010569
                     13,                 1.3594,                 1.6691,                 1.7721,                0.41646,                0.49531,                 0.3237,                 0.1115,                  1.777,                 3.2889,                 3.7258,              0.0011333,              0.0011333,              0.0011333
                     14,                 1.5329,                 1.8283,                 1.9406,                0.87459,                0.53671,                0.67648,                0.23625,                 2.1947,                 3.2698,                 5.2892,              0.0012077,              0.0012077,              0.0012077
                     15,                 1.4441,                 1.7825,                 1.8009,                0.26436,                0.61538,                0.28089,                0.09086,                 2.1845,                 3.6354,                 3.7119,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.3263,                 1.6753,                 1.7285,                0.56666,                0.53846,                 0.5316,                0.13134,                  2.414,                 3.3736,                 4.5964,              0.0012309,              0.0012309,              0.0012309
