                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5884,                 3.1855,                 1.8211,                0.00504,                0.77143,                0.07259,                  0.033,                 1.8927,                 3.7486,                 2.1732,             0.00011669,             0.00011669,             0.00011669
                      2,                 1.3392,                 2.6699,                 1.6792,                0.00589,                0.84286,                0.23844,                0.10254,                 1.6638,                 3.4105,                 1.9084,             0.00024757,             0.00024757,             0.00024757
                      3,                 1.3352,                 2.1043,                 1.6264,                0.00628,                0.88571,                0.21911,                0.09505,                 1.7934,                 3.3301,                 1.9831,             0.00037582,             0.00037582,             0.00037582
                      4,                 1.3188,                 1.9761,                 1.5318,                0.00673,                    0.9,                0.26911,                0.12476,                 1.8007,                 3.1012,                  1.847,             0.00050142,             0.00050142,             0.00050142
                      5,                 1.3192,                 1.8255,                 1.5233,                0.86183,                0.12857,                0.35203,                0.15498,                 1.8786,                 3.0347,                 1.9155,             0.00062438,             0.00062438,             0.00062438
                      6,                 1.3697,                 1.7924,                 1.5835,                0.75062,                    0.2,                0.44828,                0.12546,                 2.0484,                 2.9642,                 2.3536,             0.00074471,             0.00074471,             0.00074471
                      7,                 1.3157,                 1.6448,                 1.5187,                0.90375,                0.12017,                0.38456,                0.16122,                 2.0644,                 3.0835,                 2.2163,             0.00086239,             0.00086239,             0.00086239
                      8,                 1.3231,                 1.6051,                 1.5041,                0.77938,                0.35714,                 0.4977,                0.17221,                 2.1962,                 2.8575,                 2.3695,             0.00097743,             0.00097743,             0.00097743
                      9,                 1.3034,                 1.5286,                 1.4778,                0.53046,                0.37143,                 0.4426,                0.17717,                 1.9539,                 2.9505,                 2.3422,              0.0010898,              0.0010898,              0.0010898
                     10,                 1.3671,                 1.5046,                 1.5257,                0.74049,                0.15714,                 0.3765,                0.13375,                 2.0432,                 3.1804,                 2.4495,              0.0011996,              0.0011996,              0.0011996
                     11,                 1.4018,                 1.4929,                 1.5565,                 0.5443,                0.42857,                  0.306,                0.10342,                 2.2341,                  3.122,                 2.7858,              0.0013067,              0.0013067,              0.0013067
                     12,                 1.2426,                 1.4299,                 1.4829,                0.60947,                0.44286,                0.47499,                0.15427,                 2.2863,                 2.8828,                 2.8371,              0.0014112,              0.0014112,              0.0014112
                     13,                 1.3063,                 1.4146,                 1.4999,                0.47594,                0.32857,                0.32229,                0.11449,                 2.4348,                 3.2081,                 3.2887,               0.001469,               0.001469,               0.001469
                     14,                 1.2625,                 1.3175,                 1.4732,                0.32023,                0.31429,                0.21595,                0.06614,                 2.6217,                 3.8613,                 3.4736,               0.001469,               0.001469,               0.001469
                     15,                 1.2419,                 1.2676,                 1.4464,                 0.1721,                0.32857,                0.16417,                0.05931,                 2.4758,                 3.1492,                 3.4491,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.2492,                 1.4453,                 1.4964,                0.19545,                    0.4,                0.20621,                0.05859,                 2.3844,                 3.6925,                 3.0692,               0.001436,               0.001436,               0.001436
                     17,                 1.2581,                 1.2969,                 1.4866,                0.44769,                0.27143,                0.21921,                0.07714,                 2.3853,                 3.1964,                 3.1841,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.2094,                 1.2213,                 1.4292,                0.18147,                0.51429,                0.17921,                0.04128,                 2.5847,                 3.5058,                 3.4244,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.1724,                  1.215,                 1.4312,                0.22665,                    0.3,                0.15096,                0.04721,                  2.658,                 3.4031,                  3.482,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.1737,                 1.2141,                 1.4404,                0.29769,                0.55428,                0.33943,                0.09764,                 2.2917,                 2.7666,                 2.7937,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.1805,                 1.2257,                 1.4269,                0.36908,                    0.4,                0.31585,                0.10207,                 2.4517,                 2.7172,                 3.0945,              0.0013534,              0.0013534,              0.0013534
                     22,                  1.195,                 1.0847,                 1.3752,                0.45871,                0.39072,                0.39653,                0.14217,                 2.4301,                 2.5978,                  2.983,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.0946,                 1.1053,                 1.3404,                0.57849,                    0.5,                0.44528,                0.14646,                 2.3678,                 2.7317,                 2.6648,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.1513,                  1.169,                 1.3803,                0.61054,                0.52539,                0.56666,                0.24211,                 2.1695,                  2.173,                 2.5642,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.0706,                 1.0573,                 1.3124,                0.75229,                0.57192,                0.63852,                0.22849,                 2.1304,                 2.1187,                 2.6941,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.0636,                 1.0757,                  1.326,                0.81467,                0.68539,                0.72471,                0.28392,                  2.119,                 1.9167,                 2.6612,              0.0012709,              0.0012709,              0.0012709
                     27,                  1.077,                 1.0702,                 1.3204,                0.61015,                 0.7551,                0.67008,                0.28647,                 2.0727,                 1.8902,                 2.5021,              0.0012544,              0.0012544,              0.0012544
                     28,                  1.004,                 1.0469,                 1.2865,                 0.6091,                0.65956,                0.66501,                0.31712,                 1.9697,                 1.7459,                 2.3322,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.0385,                 1.0199,                 1.3165,                0.60339,                0.68997,                0.58756,                0.27016,                 1.9906,                  1.948,                  2.377,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.0576,                  1.001,                 1.3193,                0.70384,                0.68571,                 0.6451,                0.24974,                 2.1433,                 2.1022,                 2.5826,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.0315,                0.99643,                 1.2863,                  0.742,                 0.6152,                0.60353,                0.23795,                 2.1473,                 2.1211,                 2.6676,              0.0011884,              0.0011884,              0.0011884
                     32,                0.92758,                0.89861,                 1.2235,                0.65125,                0.58571,                0.54291,                0.20615,                 2.1814,                 2.3434,                  2.771,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.0269,                0.95074,                 1.3126,                0.68574,                0.64286,                0.66127,                 0.2414,                 2.1035,                  2.026,                 2.6018,              0.0011554,              0.0011554,              0.0011554
                     34,                 0.9698,                0.95889,                 1.2832,                0.82436,                 0.7593,                0.73963,                0.29273,                 2.0571,                 1.7977,                 2.5068,              0.0011389,              0.0011389,              0.0011389
                     35,                0.92826,                0.86375,                 1.2252,                0.71382,                0.65714,                0.67117,                 0.2509,                 2.0962,                  1.821,                 2.6578,              0.0011224,              0.0011224,              0.0011224
                     36,                0.94024,                0.85274,                  1.235,                0.60975,                0.72857,                0.61369,                 0.2334,                 2.0601,                 1.7267,                 2.6129,              0.0011059,              0.0011059,              0.0011059
                     37,                0.95574,                0.90519,                 1.2487,                0.70289,                0.62857,                 0.6907,                0.24827,                 2.0469,                 1.8494,                 2.4737,              0.0010894,              0.0010894,              0.0010894
                     38,                0.97359,                0.86019,                 1.2631,                 0.8419,                0.67143,                0.76783,                0.26253,                  2.041,                 1.8123,                 2.4163,              0.0010729,              0.0010729,              0.0010729
                     39,                0.91965,                0.83308,                 1.2113,                 0.6817,                0.67143,                0.70548,                0.26465,                 2.0651,                 1.9547,                 2.4979,              0.0010564,              0.0010564,              0.0010564
                     40,                0.96358,                0.85821,                 1.2398,                0.61949,                0.48675,                0.49839,                0.20207,                 2.1388,                 1.9438,                 2.5727,              0.0010399,              0.0010399,              0.0010399
                     41,                0.93134,                0.81014,                 1.1992,                0.68997,                0.51732,                 0.5507,                0.23583,                 2.2204,                 1.8484,                 2.6586,              0.0010234,              0.0010234,              0.0010234
                     42,                0.92233,                 0.7879,                 1.2084,                0.72717,                0.76221,                0.68852,                0.26346,                 2.1967,                 1.6306,                 2.5608,              0.0010069,              0.0010069,              0.0010069
                     43,                0.92272,                0.80528,                 1.2278,                0.73602,                0.71429,                0.70429,                0.27868,                 2.1404,                 1.5224,                 2.4891,             0.00099036,             0.00099036,             0.00099036
                     44,                0.87753,                0.80297,                 1.1881,                0.73647,                 0.8686,                0.82816,                0.29902,                 2.2248,                 1.4653,                 2.5885,             0.00097386,             0.00097386,             0.00097386
                     45,                0.88289,                0.81086,                 1.1943,                0.71776,                0.78571,                0.75492,                0.31127,                 2.1734,                 1.4583,                 2.5819,             0.00095736,             0.00095736,             0.00095736
                     46,                 0.8852,                 0.7616,                 1.1865,                0.85398,                0.74636,                  0.768,                0.36727,                 2.0587,                 1.4888,                 2.4608,             0.00094085,             0.00094085,             0.00094085
                     47,                0.92189,                0.81791,                 1.2229,                0.71149,                0.71429,                 0.7342,                0.35318,                 2.0463,                  1.542,                 2.3959,             0.00092435,             0.00092435,             0.00092435
                     48,                0.96452,                0.79321,                 1.2195,                0.81394,                0.75704,                0.77351,                0.35869,                 2.0301,                 1.5671,                 2.4178,             0.00090785,             0.00090785,             0.00090785
                     49,                0.80708,                0.73708,                 1.1369,                0.87968,                0.66297,                 0.7666,                0.36991,                 2.0137,                 1.6694,                 2.3634,             0.00089134,             0.00089134,             0.00089134
                     50,                0.88215,                0.74547,                 1.1727,                 0.7877,                0.67029,                0.75863,                0.31276,                 2.0078,                 1.8557,                 2.2926,             0.00087484,             0.00087484,             0.00087484
                     51,                0.83726,                0.72294,                 1.1424,                0.73782,                0.62857,                0.66434,                0.26106,                 2.0202,                 1.8736,                 2.3716,             0.00085834,             0.00085834,             0.00085834
                     52,                 0.8299,                0.74516,                 1.1603,                0.79722,                0.61146,                0.62392,                0.27926,                 1.9352,                 1.7732,                 2.3547,             0.00084184,             0.00084184,             0.00084184
                     53,                0.77666,                0.71659,                 1.1547,                0.75183,                0.66577,                0.64868,                0.30084,                 1.9675,                 1.5872,                   2.34,             0.00082533,             0.00082533,             0.00082533
                     54,                0.83314,                 0.7124,                 1.1854,                0.63946,                0.67143,                0.61535,                0.27158,                  2.023,                 1.5563,                 2.4273,             0.00080883,             0.00080883,             0.00080883
                     55,                 0.8352,                0.68192,                 1.1382,                0.64009,                0.68965,                0.61877,                0.27618,                 2.0297,                 1.5086,                 2.4293,             0.00079233,             0.00079233,             0.00079233
                     56,                0.76259,                0.70889,                 1.1267,                0.79058,                0.64286,                0.64595,                0.30153,                 2.0089,                 1.4854,                 2.3675,             0.00077582,             0.00077582,             0.00077582
                     57,                  0.815,                0.71305,                 1.1302,                0.75343,                0.62857,                 0.6358,                0.29409,                 2.0522,                 1.3596,                 2.4317,             0.00075932,             0.00075932,             0.00075932
