                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.807,                 2.7474,                 2.0652,                0.00344,                0.90741,                0.28045,                0.11108,                 1.9839,                 3.6731,                 2.6334,                 0.0004,                 0.0004,                 0.0004
                      2,                 1.7951,                 2.5257,                 2.0053,                0.00629,                 0.5463,                0.10448,                 0.0323,                  3.141,                 4.4592,                 3.6894,             0.00081188,             0.00081188,             0.00081188
                      3,                 1.9092,                 2.5153,                  2.075,                0.14415,                0.17593,                0.10283,                0.03079,                 2.1946,                 3.9058,                 3.0251,              0.0012154,              0.0012154,              0.0012154
                      4,                 1.8884,                  2.508,                 2.0963,                0.14268,                0.16667,                 0.0764,                0.01769,                  2.957,                 4.1341,                 4.1419,              0.0016107,              0.0016107,              0.0016107
                      5,                 1.9288,                 2.4205,                 2.1116,                0.17173,                   0.25,                0.13237,                0.03994,                 2.4031,                 3.5865,                 3.2306,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.9917,                 2.4743,                 2.1856,                0.16461,                0.15741,                 0.0759,                0.02097,                 2.8687,                 6.1888,                 4.0579,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.0214,                 2.4977,                 2.1751,                0.09952,                0.12037,                 0.0301,                 0.0054,                 3.6711,                 4.7036,                 5.7914,               0.001901,               0.001901,               0.001901
                      8,                 1.9626,                 2.4422,                 2.1741,                0.06254,                0.30556,                0.06151,                0.01561,                 3.0369,                 36.448,                 4.3012,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.9867,                  2.446,                 2.2099,                0.25263,                0.12963,                0.09913,                0.02671,                 2.5641,                 5.1183,                 3.3072,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.9749,                 2.3478,                 2.1774,                0.17762,                0.19444,                0.07949,                0.02067,                 2.6408,                 3.8826,                 3.2491,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.9334,                 2.2319,                 2.1131,                0.27142,                0.40741,                0.24464,                0.06956,                 2.4035,                 3.5811,                 2.9371,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.0221,                 2.3692,                 2.1559,                0.26641,                0.31481,                0.18152,                0.05042,                 2.3675,                 2.7391,                 3.2849,               0.001802,               0.001802,               0.001802
                     13,                 1.9535,                 2.2879,                 2.1279,                 0.2763,                0.27778,                 0.1619,                0.04462,                 2.5716,                 3.2337,                 3.1739,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.9168,                 2.2064,                 2.1138,                0.16131,                0.44444,                0.14023,                0.04011,                 2.3289,                 3.5815,                 2.9548,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.9087,                 2.1494,                 2.0926,                 0.2209,                0.26852,                0.18971,                0.04917,                  2.556,                 3.3895,                 3.1219,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.9629,                 2.1762,                 2.1331,                0.28426,                0.36111,                0.19129,                0.06621,                 2.1302,                 3.3617,                 2.7012,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.8628,                 2.0786,                 2.0425,                0.32747,                0.36111,                0.26074,                0.08736,                 2.1398,                 2.8087,                 2.7264,               0.001703,               0.001703,               0.001703
                     18,                 1.8764,                 2.1349,                 2.0366,                0.35756,                 0.3556,                0.25626,                0.07981,                 2.4366,                 2.3082,                 3.0937,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.8143,                 2.0616,                 1.9762,                0.34634,                 0.4537,                0.35752,                0.12007,                 2.3223,                 2.8532,                 2.8911,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.8499,                 2.0344,                 2.0294,                0.36463,                0.47222,                0.33716,                0.10144,                 2.3793,                 2.5782,                 3.0276,              0.0016436,              0.0016436,              0.0016436
                     21,                  1.818,                 2.0345,                 2.0201,                0.55185,                 0.4105,                0.46512,                0.15947,                 2.0858,                 2.0735,                 2.6398,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.8109,                 2.0238,                 2.0143,                0.47636,                0.39815,                0.39378,                0.13663,                  2.167,                 2.1991,                 2.6635,               0.001604,               0.001604,               0.001604
                     23,                 1.8191,                 1.9576,                  1.994,                 0.4669,                0.40548,                0.37514,                0.13277,                  2.251,                  2.118,                 2.6145,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.7744,                 1.9676,                 1.9658,                0.44162,                0.42593,                0.36629,                 0.1206,                 2.2246,                 2.1827,                 2.6034,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.8208,                 2.0004,                 1.9756,                0.35306,                0.33333,                 0.3224,                 0.1244,                 2.3286,                 2.3782,                 2.7265,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.7464,                 1.9571,                 1.9516,                0.48061,                0.44444,                0.45426,                0.15758,                 2.1517,                 2.2311,                 2.6523,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.7805,                 1.9825,                 1.9682,                 0.5955,                0.51852,                0.47893,                0.17928,                 2.0666,                 2.1343,                 2.6064,               0.001505,               0.001505,               0.001505
                     28,                 1.7282,                 1.9381,                 1.9208,                0.53173,                0.49074,                0.46525,                0.15021,                 2.1986,                  2.087,                 2.5831,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.7141,                 1.8785,                  1.916,                0.52469,                0.56481,                0.51295,                0.20344,                 2.0112,                 1.9182,                 2.5062,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.7251,                 1.8827,                 1.9512,                0.57853,                0.52111,                0.51769,                0.18525,                 2.0532,                 1.8945,                  2.601,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.7439,                 1.9138,                 1.9484,                 0.5494,                0.58333,                0.50697,                0.17886,                 2.0627,                 1.9585,                 2.6369,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.7803,                 1.8343,                 1.9549,                0.62685,                0.46296,                0.52826,                0.19122,                 2.1256,                 1.9947,                 2.6376,               0.001406,               0.001406,               0.001406
