                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91641,                 2.7246,                 1.4782,                0.15438,                0.40905,                0.22562,                0.10989,                 1.9043,                 3.6952,                 2.7588,             0.00041254,             0.00041254,             0.00041254
                      2,                 0.8846,                 2.2023,                 1.4425,                0.16629,                0.38737,                0.16781,                0.06084,                 2.0399,                 3.2846,                 3.4895,               0.000821,               0.000821,               0.000821
                      3,                0.90297,                 2.0076,                 1.4355,                0.16762,                0.51882,                0.22052,                0.10349,                 1.8552,                 2.7954,                 2.7752,              0.0012212,              0.0012212,              0.0012212
                      4,                0.88472,                 1.9242,                 1.4247,                0.15109,                0.65018,                0.22545,                0.07432,                 2.1587,                 2.6661,                  3.249,              0.0012129,              0.0012129,              0.0012129
                      5,                0.83714,                 1.7914,                 1.3833,                0.16725,                0.54686,                 0.2389,                0.08908,                  2.256,                 2.2779,                 3.1306,              0.0012129,              0.0012129,              0.0012129
                      6,                0.80141,                 1.7032,                 1.3523,                0.20857,                0.43934,                0.25474,                0.12985,                 1.7163,                 2.4129,                 2.3584,              0.0012005,              0.0012005,              0.0012005
                      7,                0.79446,                 1.7034,                 1.3456,                0.22167,                0.33566,                0.17409,                0.05087,                 2.7847,                   2.75,                 4.3198,              0.0011881,              0.0011881,              0.0011881
                      8,                0.75618,                 1.6297,                 1.3217,                0.32992,                0.55926,                0.38468,                0.19931,                  1.647,                 2.0447,                 2.3359,              0.0011757,              0.0011757,              0.0011757
                      9,                0.72801,                 1.6174,                 1.2888,                0.18282,                0.43799,                0.26854,                0.12907,                 1.7172,                 2.2218,                 2.3278,              0.0011634,              0.0011634,              0.0011634
                     10,                 0.7268,                 1.5805,                  1.305,                0.24941,                 0.5009,                0.34286,                0.18223,                 1.8267,                 2.1051,                 2.4935,               0.001151,               0.001151,               0.001151
                     11,                0.69638,                  1.521,                 1.2671,                0.48083,                0.35358,                0.30043,                0.14663,                 2.4331,                  2.237,                  3.339,              0.0011386,              0.0011386,              0.0011386
                     12,                0.67022,                 1.5051,                 1.2546,                0.37212,                0.47278,                0.40056,                0.18145,                 1.9724,                 2.0303,                 2.7511,              0.0011263,              0.0011263,              0.0011263
                     13,                0.67446,                 1.4666,                 1.2595,                0.23826,                0.52384,                0.40011,                0.20626,                  1.731,                 2.1986,                  2.455,              0.0011139,              0.0011139,              0.0011139
                     14,                0.65056,                 1.4816,                 1.2349,                0.41906,                0.51174,                0.44277,                0.25916,                 1.7006,                 1.9517,                 2.3983,              0.0011015,              0.0011015,              0.0011015
                     15,                0.64828,                 1.4564,                 1.2341,                0.31623,                0.61009,                0.44046,                0.20475,                 1.9702,                 1.7586,                 2.7401,              0.0010891,              0.0010891,              0.0010891
                     16,                0.63543,                 1.4411,                 1.2225,                0.30628,                0.52585,                0.36306,                0.18532,                 1.8885,                 2.1667,                 2.5509,              0.0010768,              0.0010768,              0.0010768
                     17,                0.61132,                  1.407,                 1.2088,                 0.2679,                 0.5207,                0.32509,                0.13514,                 2.3263,                 2.0964,                 3.3105,              0.0010644,              0.0010644,              0.0010644
                     18,                0.61562,                 1.4007,                  1.207,                0.22018,                 0.5428,                0.35544,                0.16088,                  1.752,                 2.6208,                 2.5103,               0.001052,               0.001052,               0.001052
                     19,                0.60258,                 1.4132,                 1.1992,                0.33634,                0.66013,                0.41014,                0.21243,                 1.7784,                 1.7956,                 2.4036,              0.0010396,              0.0010396,              0.0010396
                     20,                 0.6033,                 1.3825,                 1.2052,                 0.2995,                0.39901,                0.26916,                0.08663,                 2.7339,                 2.2008,                 4.2464,              0.0010273,              0.0010273,              0.0010273
                     21,                 0.5943,                  1.367,                 1.1945,                0.38172,                0.66107,                0.43078,                0.22465,                 1.7766,                 1.7403,                 2.6401,              0.0010149,              0.0010149,              0.0010149
                     22,                0.60153,                 1.3617,                 1.2066,                 0.3623,                0.58198,                0.42527,                0.17807,                 2.3369,                 1.6891,                 3.3423,              0.0010025,              0.0010025,              0.0010025
