                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2775,                 2.0436,                 1.7133,                0.60455,                0.58065,                0.54402,                0.22988,                 1.7476,                 3.2841,                 2.7424,             0.00064762,             0.00064762,             0.00064762
                      2,                 1.3273,                 1.8153,                 1.7614,                0.41168,                0.32258,                0.34067,                 0.1046,                 2.2873,                  2.897,                 3.6271,              0.0013013,              0.0013013,              0.0013013
                      3,                 1.4567,                 1.7819,                 1.8617,                0.53417,                0.51613,                0.46697,                0.18413,                 2.1505,                 3.3918,                 3.4555,              0.0019417,              0.0019417,              0.0019417
                      4,                 1.4371,                 1.7723,                 1.8328,                0.30543,                0.41935,                0.26009,                0.06799,                 2.5098,                 4.7568,                 3.5872,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4683,                 1.6901,                  1.866,                0.05548,                 0.3871,                0.04196,                0.00977,                 2.5799,                 4.2665,                 3.4822,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.4544,                 1.6519,                 1.8357,                0.22072,                0.48387,                0.27658,                0.08001,                 2.0805,                 2.5015,                 2.8961,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4497,                 1.5794,                 1.8436,                0.57066,                0.54839,                0.53669,                 0.2266,                 2.0158,                 3.0767,                 3.2177,               0.001901,               0.001901,               0.001901
                      8,                 1.4233,                  1.531,                 1.8122,                0.73799,                0.45161,                 0.5907,                0.22259,                 2.2896,                 2.0131,                 2.9498,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3593,                 1.4955,                 1.7368,                0.43539,                0.67742,                0.49037,                0.17382,                 1.7803,                  1.937,                 2.4435,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.349,                  1.497,                 1.7666,                0.67532,                    0.5,                0.54188,                0.23621,                 1.8451,                 2.0479,                 2.5171,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3762,                 1.4652,                  1.782,                0.72052,                0.58065,                0.58812,                0.22901,                 2.0371,                 1.8746,                 2.6835,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3597,                 1.4019,                 1.7481,                0.53247,                0.55111,                0.53239,                0.20193,                 2.0383,                 2.2553,                 2.9756,               0.001802,               0.001802,               0.001802
                     13,                  1.349,                 1.3985,                 1.7318,                0.70141,                0.77419,                0.65521,                0.27928,                 1.6722,                 1.8035,                 2.4348,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.3315,                 1.3914,                 1.7349,                0.72608,                0.64135,                0.69484,                 0.3706,                 1.7246,                 1.5231,                 2.3428,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2725,                 1.3061,                 1.6931,                0.76048,                0.64516,                0.67615,                0.33131,                 1.8494,                 1.5066,                 2.6419,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2814,                 1.2626,                 1.6523,                 0.7423,                0.58065,                0.55189,                 0.2826,                 1.8193,                  1.661,                 2.6097,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2829,                 1.2884,                 1.6602,                0.72185,                0.66129,                0.68765,                0.33787,                 1.6781,                 1.4993,                 2.3188,               0.001703,               0.001703,               0.001703
                     18,                  1.236,                  1.239,                  1.658,                0.82378,                0.72581,                0.73103,                0.36595,                 1.6429,                 1.2622,                 2.4246,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.1905,                 1.1613,                 1.6057,                0.75974,                0.74194,                 0.7927,                0.43075,                 1.6498,                 1.2754,                 2.2423,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.2033,                 1.1712,                 1.6198,                0.78599,                0.66129,                0.65237,                0.33019,                  1.771,                 1.4108,                 2.5593,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.2155,                 1.1921,                 1.6311,                0.81798,                0.65243,                0.72932,                0.38318,                 1.6507,                 1.4102,                 2.3424,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.2155,                  1.176,                 1.6278,                0.67586,                0.64516,                0.68363,                0.37325,                  1.632,                 1.3165,                 2.3457,               0.001604,               0.001604,               0.001604
                     23,                 1.1706,                 1.1468,                 1.5926,                0.56228,                0.62903,                0.57714,                0.26665,                  1.966,                 1.5103,                 2.4886,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.2235,                 1.1875,                 1.6204,                0.79863,                0.72581,                0.75811,                0.44693,                  1.491,                   1.35,                 2.1146,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.1369,                 1.1053,                 1.5591,                0.80709,                0.72581,                0.73587,                0.38347,                 1.6082,                 1.3006,                 2.2416,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.1501,                 1.0937,                 1.5598,                0.78149,                0.77419,                 0.7787,                0.39355,                  1.668,                 1.2894,                 2.2488,              0.0015248,              0.0015248,              0.0015248
                     27,                  1.141,                 1.0996,                 1.5646,                0.71557,                0.73045,                0.77128,                0.42819,                 1.5844,                 1.2655,                 2.3096,               0.001505,               0.001505,               0.001505
                     28,                 1.1227,                 1.0416,                 1.5581,                0.69823,                0.63448,                0.67408,                0.32803,                 1.7568,                 1.3439,                 2.3914,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.1055,                 1.0372,                 1.5348,                0.89694,                0.75806,                0.79609,                0.41552,                 1.5929,                 1.2107,                 2.2166,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.1266,                 1.0457,                 1.5443,                0.76729,                0.77419,                0.78324,                0.42929,                 1.5435,                 1.0901,                 2.1721,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.1078,                 1.0067,                 1.5217,                0.79336,                0.77419,                0.77438,                0.48944,                 1.3537,                 1.0838,                 2.0365,              0.0014258,              0.0014258,              0.0014258
